"Table 8. Tobacco Product Use in the Past Month among Individuals Aged 12 or Older, by State and Substate Region: Percentages, Annual Averages Based on 2014, 2015, and 2016 NSDUHs",,,,,,
"NOTE: Tobacco Products include cigarettes, smokeless tobacco (i.e., snuff, dip, chewing tobacco or ""snus""), cigars, or pipe tobacco.",,,,,,
"NOTE: For substate region definitions, see the ""2014-2016 National Survey on Drug Use and Health Substate Region Definitions"" at https://www.samhsa.gov/data/.",,,,,,
"NOTE: The substate, state, and census region estimates along with the 95 percent confidence (credible) intervals are based on a survey-weighted hierarchical Bayes estimation approach and are generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,
"NOTE: The column labeled ""Map Group"" can be used to distinguish substate regions included in the maps from other substate regions. In the ""Map Group"" column, a ""1"" represents the national estimate, a ""2"" represents the census region estimates, a ""3"" represents the state-level estimates, a ""4"" represents the substate/aggregate region-level estimates included in the maps, and a ""5"" represents the other substate/aggregate region-level estimates that are not included in the maps.",,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2014, 2015, and 2016.",,,,,,
Order,State,Substate Region,"Small Area Estimate",95% CI (Lower),95% CI (Upper),"Map Group"
1,Total United States,Total United States,24.22%,23.90%,24.54%,1
2,Northeast,Northeast,23.18%,22.52%,23.85%,2
3,Midwest,Midwest,27.15%,26.55%,27.76%,2
4,South,South,25.92%,25.40%,26.45%,2
5,West,West,19.66%,19.06%,20.28%,2
6,Alabama,Alabama,29.95%,28.00%,31.98%,3
7,Alabama,Region 1,32.43%,29.19%,35.84%,4
8,Alabama,Region 2,29.79%,26.84%,32.92%,4
9,Alabama,Region 3,26.08%,22.79%,29.66%,4
10,Alabama,Region 4,30.18%,26.84%,33.73%,4
11,Alaska,Alaska,30.87%,28.93%,32.87%,3
12,Alaska,Anchorage,26.80%,24.45%,29.30%,4
13,Alaska,Northern,37.65%,33.97%,41.47%,4
14,Alaska,South Central,32.13%,28.84%,35.61%,4
15,Alaska,Southeast,29.23%,25.15%,33.68%,4
16,Arizona,Arizona,22.17%,20.41%,24.04%,3
17,Arizona,Central,21.13%,19.10%,23.31%,4
18,Arizona,North,26.51%,22.66%,30.74%,4
19,Arizona,South,22.53%,19.81%,25.50%,5
20,Arizona,South A,21.09%,18.10%,24.42%,4
21,Arizona,South B,24.26%,20.43%,28.56%,4
22,Arkansas,Arkansas,33.42%,31.31%,35.59%,3
23,Arkansas,Catchment Area 1,26.66%,23.46%,30.13%,4
24,Arkansas,Catchment Area 2,38.01%,33.58%,42.64%,4
25,Arkansas,Catchment Area 3,34.03%,30.02%,38.27%,4
26,Arkansas,Catchment Area 4,34.51%,30.40%,38.87%,4
27,Arkansas,Catchment Area 5,33.20%,29.40%,37.23%,4
28,Arkansas,Catchment Area 6,36.77%,32.38%,41.39%,4
29,Arkansas,Catchment Area 7,36.48%,31.96%,41.26%,4
30,Arkansas,Catchment Area 8,33.14%,29.34%,37.17%,4
31,California,California,17.37%,16.54%,18.24%,3
32,California,Region 1R,25.48%,22.10%,29.19%,4
33,California,Region 2R,19.33%,16.68%,22.29%,4
34,California,Region 3R (Sacramento),19.38%,17.00%,22.00%,4
35,California,Region 4R,17.82%,15.35%,20.59%,4
36,California,Region 5R (San Francisco),16.34%,13.61%,19.49%,4
37,California,Region 6 (Santa Clara),12.76%,11.00%,14.76%,4
38,California,Region 7R (Contra Costa),16.01%,13.77%,18.53%,4
39,California,Region 8R (Alameda),14.90%,12.72%,17.38%,4
40,California,Region 9R (San Mateo),14.02%,11.71%,16.70%,4
41,California,Region 10,17.72%,15.03%,20.78%,4
42,California,Region 11 (Los Angeles),16.04%,14.94%,17.20%,5
43,California,LA SPA 1 and 5,16.35%,14.02%,18.99%,4
44,California,LA SPA 2,15.59%,13.55%,17.87%,4
45,California,LA SPA 3,14.03%,11.92%,16.43%,4
46,California,LA SPA 4,17.68%,15.05%,20.67%,4
47,California,LA SPA 6,18.99%,16.18%,22.15%,4
48,California,LA SPA 7,15.28%,12.92%,17.98%,4
49,California,LA SPA 8,16.35%,14.09%,18.89%,4
50,California,Region 12R,20.93%,17.88%,24.34%,4
51,California,Regions 13 and 19R,17.94%,15.75%,20.35%,4
52,California,Region 14 (Orange),15.27%,13.32%,17.44%,4
