Notes,County,County Code,Deaths,Population,Crude Rate
,"Autauga County, AL",1001,163,55416,294.1
,"Baldwin County, AL",1003,640,208563,306.9
,"Barbour County, AL",1005,90,25965,346.6
,"Bibb County, AL",1007,79,22643,348.9
,"Blount County, AL",1009,199,57704,344.9
,"Bullock County, AL",1011,36,10362,347.4
,"Butler County, AL",1013,108,19998,540.1
,"Calhoun County, AL",1015,519,114611,452.8
,"Chambers County, AL",1017,136,33843,401.9
,"Cherokee County, AL",1019,109,25725,423.7
,"Chilton County, AL",1021,186,43941,423.3
,"Choctaw County, AL",1023,79,12993,608
,"Clarke County, AL",1025,111,24392,455.1
,"Clay County, AL",1027,66,13492,489.2
,"Cleburne County, AL",1029,69,14924,462.3
,"Coffee County, AL",1031,173,51226,337.7
,"Colbert County, AL",1033,217,54216,400.3
,"Conecuh County, AL",1035,59,12395,476
,"Coosa County, AL",1037,50,10581,472.5
,"Covington County, AL",1039,170,37458,453.8
,"Crenshaw County, AL",1041,54,13913,388.1
,"Cullman County, AL",1043,326,82471,395.3
,"Dale County, AL",1045,177,49226,359.6
,"Dallas County, AL",1047,203,40008,507.4
,"DeKalb County, AL",1049,260,70900,366.7
,"Elmore County, AL",1051,229,81799,280
,"Escambia County, AL",1053,161,37728,426.7
,"Etowah County, AL",1055,459,102564,447.5
,"Fayette County, AL",1057,77,16546,465.4
,"Franklin County, AL",1059,120,31628,379.4
,"Geneva County, AL",1061,127,26614,477.2
,"Greene County, AL",1063,39,8422,463.1
,"Hale County, AL",1065,70,14952,468.2
,"Henry County, AL",1067,74,17164,431.1
,"Houston County, AL",1069,408,104056,392.1
,"Jackson County, AL",1071,253,52138,485.3
,"Jefferson County, AL",1073,2018,659521,306
,"Lamar County, AL",1075,69,13918,495.8
,"Lauderdale County, AL",1077,380,92318,411.6
,"Lawrence County, AL",1079,146,33244,439.2
,"Lee County, AL",1081,278,158991,174.9
,"Limestone County, AL",1083,256,92753,276
,"Lowndes County, AL",1085,42,10358,405.5
,"Macon County, AL",1087,97,18963,511.5
,"Madison County, AL",1089,991,356967,277.6
,"Marengo County, AL",1091,109,19673,554.1
,"Marion County, AL",1093,158,29998,526.7
,"Marshall County, AL",1095,387,95157,406.7
,"Mobile County, AL",1097,1462,414836,352.4
,"Monroe County, AL",1099,85,21530,394.8
,"Montgomery County, AL",1101,668,226349,295.1
,"Morgan County, AL",1103,454,119012,381.5
,"Perry County, AL",1105,40,9574,417.8
,"Pickens County, AL",1107,79,20324,388.7
,"Pike County, AL",1109,92,33286,276.4
,"Randolph County, AL",1111,120,22652,529.8
,"Russell County, AL",1113,190,58172,326.6
,"St. Clair County, AL",1115,293,88019,332.9
,"Shelby County, AL",1117,474,210622,225
,"Sumter County, AL",1119,47,13040,360.4
,"Talladega County, AL",1121,329,80103,410.7
,"Tallapoosa County, AL",1123,181,40727,444.4
,"Tuscaloosa County, AL",1125,570,206102,276.6
,"Walker County, AL",1127,378,64967,581.8
,"Washington County, AL",1129,64,16756,382
,"Wilcox County, AL",1131,43,10986,391.4
,"Winston County, AL",1133,98,23805,411.7
,"Anchorage Borough, AK",2020,386,298192,129.4
,"Bethel Census Area, AK",2050,24,17968,133.6
,"Dillingham Census Area, AK",2070,11,4954,222.0 (Unreliable)
