"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	13	7916	164.2 (Unreliable)
	"Baldwin County, AL"	"01003"	22	28212	78.0
	"Calhoun County, AL"	"01015"	46	14963	307.4
	"Chilton County, AL"	"01021"	17	5878	289.2 (Unreliable)
	"Coffee County, AL"	"01031"	10	6868	145.6 (Unreliable)
	"Colbert County, AL"	"01033"	13	7491	173.5 (Unreliable)
	"Covington County, AL"	"01039"	11	4865	226.1 (Unreliable)
	"Cullman County, AL"	"01043"	21	11020	190.6
	"Dale County, AL"	"01045"	11	6175	178.1 (Unreliable)
	"Dallas County, AL"	"01047"	15	4909	305.6 (Unreliable)
	"DeKalb County, AL"	"01049"	23	9548	240.9
	"Elmore County, AL"	"01051"	18	11394	158.0 (Unreliable)
	"Escambia County, AL"	"01053"	10	4969	201.2 (Unreliable)
	"Etowah County, AL"	"01055"	43	13944	308.4
	"Franklin County, AL"	"01059"	10	4176	239.5 (Unreliable)
	"Houston County, AL"	"01069"	23	13801	166.7
	"Jackson County, AL"	"01071"	24	7102	337.9
	"Jefferson County, AL"	"01073"	114	83571	136.4
	"Lauderdale County, AL"	"01077"	22	11959	184.0
	"Lawrence County, AL"	"01079"	18	4998	360.1 (Unreliable)
	"Lee County, AL"	"01081"	21	18767	111.9
	"Limestone County, AL"	"01083"	23	14020	164.1
	"Madison County, AL"	"01089"	73	51931	140.6
	"Marengo County, AL"	"01091"	10	2515	397.6 (Unreliable)
	"Marion County, AL"	"01093"	14	4306	325.1 (Unreliable)
	"Marshall County, AL"	"01095"	35	12599	277.8
	"Mobile County, AL"	"01097"	95	52716	180.2
	"Montgomery County, AL"	"01101"	36	28360	126.9
	"Morgan County, AL"	"01103"	31	16781	184.7
	"Russell County, AL"	"01113"	17	7499	226.7 (Unreliable)
	"St. Clair County, AL"	"01115"	17	12396	137.1 (Unreliable)
	"Shelby County, AL"	"01117"	18	30303	59.4 (Unreliable)
	"Talladega County, AL"	"01121"	30	11129	269.6
	"Tuscaloosa County, AL"	"01125"	34	23179	146.7
	"Walker County, AL"	"01127"	47	8840	531.7
	"Anchorage Borough, AK"	"02020"	39	37745	103.3
	"Matanuska-Susitna Borough, AK"	"02170"	12	13580	88.4 (Unreliable)
	"Cochise County, AZ"	"04003"	14	14225	98.4 (Unreliable)
	"Coconino County, AZ"	"04005"	15	14977	100.2 (Unreliable)
	"Maricopa County, AZ"	"04013"	409	543880	75.2
	"Mohave County, AZ"	"04015"	49	24213	202.4
	"Navajo County, AZ"	"04017"	13	12765	101.8 (Unreliable)
	"Pima County, AZ"	"04019"	139	115837	120.0
	"Pinal County, AZ"	"04021"	39	46578	83.7
	"Yavapai County, AZ"	"04025"	22	25392	86.6
	"Yuma County, AZ"	"04027"	21	21719	96.7
	"Benton County, AR"	"05007"	19	33121	57.4 (Unreliable)
	"Craighead County, AR"	"05031"	25	12608	198.3
	"Crawford County, AR"	"05033"	17	8467	200.8 (Unreliable)
	"Crittenden County, AR"	"05035"	15	6302	238.0 (Unreliable)
	"Faulkner County, AR"	"05045"	26	14546	178.7
	"Garland County, AR"	"05051"	30	12278	244.3
	"Greene County, AR"	"05055"	12	6030	199.0 (Unreliable)
	"Jefferson County, AR"	"05069"	17	8872	191.6 (Unreliable)
	"Ouachita County, AR"	"05103"	11	3140	350.3 (Unreliable)
	"Pulaski County, AR"	"05119"	82	49192	166.7
	"Saline County, AR"	"05125"	13	15462	84.1 (Unreliable)
	"Sebastian County, AR"	"05131"	29	16833	172.3
	"Union County, AR"	"05139"	10	5183	192.9 (Unreliable)
	"Washington County, AR"	"05143"	37	25579	144.6
	"Alameda County, CA"	"06001"	130	226342	57.4
	"Butte County, CA"	"06007"	27	24839	108.7
	"Contra Costa County, CA"	"06013"	99	165181	59.9
	"El Dorado County, CA"	"06017"	19	27110	70.1 (Unreliable)
	"Fresno County, CA"	"06019"	111	112035	99.1
	"Humboldt County, CA"	"06023"	26	15059	172.7
	"Imperial County, CA"	"06025"	22	20892	105.3
	"Kern County, CA"	"06029"	153	102567	149.2
	"Kings County, CA"	"06031"	26	17972	144.7
	"Lake County, CA"	"06033"	15	8170	183.6 (Unreliable)
	"Los Angeles County, CA"	"06037"	1182	1383892	85.4
	"Madera County, CA"	"06039"	12	18323	65.5 (Unreliable)
	"Marin County, CA"	"06041"	10	41573	24.1 (Unreliable)
	"Merced County, CA"	"06047"	35	30930	113.2
	"Monterey County, CA"	"06053"	18	52207	34.5 (Unreliable)
	"Napa County, CA"	"06055"	10	19170	52.2 (Unreliable)
	"Nevada County, CA"	"06057"	11	12280	89.6 (Unreliable)
	"Orange County, CA"	"06059"	245	457712	53.5
	"Placer County, CA"	"06061"	29	53333	54.4
	"Riverside County, CA"	"06065"	244	305248	79.9
	"Sacramento County, CA"	"06067"	216	195800	110.3
	"San Bernardino County, CA"	"06071"	245	269586	90.9
	"San Diego County, CA"	"06073"	263	422996	62.2
	"San Francisco County, CA"	"06075"	66	117500	56.2
	"San Joaquin County, CA"	"06077"	106	92650	114.4
	"San Luis Obispo County, CA"	"06079"	23	32617	70.5
	"San Mateo County, CA"	"06081"	52	109741	47.4
	"Santa Barbara County, CA"	"06083"	35	50569	69.2
	"Santa Clara County, CA"	"06085"	110	271372	40.5
	"Santa Cruz County, CA"	"06087"	11	35093	31.3 (Unreliable)
	"Shasta County, CA"	"06089"	27	22117	122.1
	"Solano County, CA"	"06095"	43	58588	73.4
	"Sonoma County, CA"	"06097"	40	67291	59.4
	"Stanislaus County, CA"	"06099"	80	66821	119.7
	"Sutter County, CA"	"06101"	17	11933	142.5 (Unreliable)
	"Tulare County, CA"	"06107"	64	51795	123.6
	"Tuolumne County, CA"	"06109"	14	6527	214.5 (Unreliable)
	"Ventura County, CA"	"06111"	63	116993	53.8
	"Yolo County, CA"	"06113"	19	23825	79.7 (Unreliable)
	"Yuba County, CA"	"06115"	17	8491	200.2 (Unreliable)
	"Adams County, CO"	"08001"	47	63163	74.4
	"Arapahoe County, CO"	"08005"	49	84790	57.8
	"Boulder County, CO"	"08013"	17	42228	40.3 (Unreliable)
	"Denver County, CO"	"08031"	57	80907	70.5
	"Douglas County, CO"	"08035"	16	54124	29.6 (Unreliable)
	"El Paso County, CO"	"08041"	69	85215	81.0
	"Jefferson County, CO"	"08059"	36	80177	44.9
	"Larimer County, CO"	"08069"	27	38788	69.6
	"Mesa County, CO"	"08077"	17	17384	97.8 (Unreliable)
	"Pueblo County, CO"	"08101"	18	20277	88.8 (Unreliable)
	"Weld County, CO"	"08123"	33	36657	90.0
	"Fairfield County, CT"	"09001"	63	144473	43.6
	"Hartford County, CT"	"09003"	83	127010	65.3
	"Litchfield County, CT"	"09005"	19	29390	64.6 (Unreliable)
	"Middlesex County, CT"	"09007"	16	25749	62.1 (Unreliable)
	"New Haven County, CT"	"09009"	86	121000	71.1
	"New London County, CT"	"09011"	20	38348	52.2
	"Tolland County, CT"	"09013"	18	21062	85.5 (Unreliable)
	"Windham County, CT"	"09015"	12	17118	70.1 (Unreliable)
	"Kent County, DE"	"10001"	29	22518	128.8
	"New Castle County, DE"	"10003"	74	77933	95.0
	"Sussex County, DE"	"10005"	29	27235	106.5
	"District of Columbia, DC"	"11001"	113	77521	145.8
	"Alachua County, FL"	"12001"	19	26664	71.3 (Unreliable)
	"Bay County, FL"	"12005"	45	24896	180.8
	"Brevard County, FL"	"12009"	70	79583	88.0
	"Broward County, FL"	"12011"	236	278995	84.6
	"Charlotte County, FL"	"12015"	31	19974	155.2
	"Citrus County, FL"	"12017"	33	16698	197.6
	"Clay County, FL"	"12019"	29	30233	95.9
	"Collier County, FL"	"12021"	19	43535	43.6 (Unreliable)
	"Columbia County, FL"	"12023"	12	8878	135.2 (Unreliable)
	"Duval County, FL"	"12031"	147	121348	121.1
	"Escambia County, FL"	"12033"	58	38091	152.3
	"Flagler County, FL"	"12035"	12	13237	90.7 (Unreliable)
	"Hernando County, FL"	"12053"	26	23114	112.5
	"Highlands County, FL"	"12055"	20	10449	191.4
	"Hillsborough County, FL"	"12057"	206	187880	109.6
	"Indian River County, FL"	"12061"	18	17908	100.5 (Unreliable)
	"Lake County, FL"	"12069"	51	41912	121.7
	"Lee County, FL"	"12071"	82	87619	93.6
	"Leon County, FL"	"12073"	31	30371	102.1
	"Manatee County, FL"	"12081"	43	47151	91.2
	"Marion County, FL"	"12083"	60	41452	144.7
	"Martin County, FL"	"12085"	18	20718	86.9 (Unreliable)
	"Miami-Dade County, FL"	"12086"	296	401573	73.7
	"Monroe County, FL"	"12087"	14	11732	119.3 (Unreliable)
	"Nassau County, FL"	"12089"	11	11126	98.9 (Unreliable)
	"Okaloosa County, FL"	"12091"	35	24853	140.8
	"Okeechobee County, FL"	"12093"	10	5182	193.0 (Unreliable)
	"Orange County, FL"	"12095"	153	176507	86.7
	"Osceola County, FL"	"12097"	45	45063	99.9
	"Palm Beach County, FL"	"12099"	157	192542	81.5
	"Pasco County, FL"	"12101"	86	69982	122.9
	"Pinellas County, FL"	"12103"	138	135450	101.9
	"Polk County, FL"	"12105"	76	82101	92.6
	"Putnam County, FL"	"12107"	11	9126	120.5 (Unreliable)
	"St. Johns County, FL"	"12109"	22	34281	64.2
	"St. Lucie County, FL"	"12111"	38	39602	96.0
	"Santa Rosa County, FL"	"12113"	26	24726	105.2
	"Sarasota County, FL"	"12115"	41	49101	83.5
	"Seminole County, FL"	"12117"	39	65612	59.4
	"Sumter County, FL"	"12119"	14	8609	162.6 (Unreliable)
	"Volusia County, FL"	"12127"	96	68664	139.8
	"Baldwin County, GA"	"13009"	17	5481	310.2 (Unreliable)
	"Barrow County, GA"	"13013"	11	10393	105.8 (Unreliable)
	"Bartow County, GA"	"13015"	25	15295	163.5
	"Bibb County, GA"	"13021"	53	18661	284.0
	"Camden County, GA"	"13039"	15	6248	240.1 (Unreliable)
	"Carroll County, GA"	"13045"	26	14782	175.9
	"Catoosa County, GA"	"13047"	12	9491	126.4 (Unreliable)
	"Chatham County, GA"	"13051"	60	33816	177.4
	"Cherokee County, GA"	"13057"	25	37167	67.3
	"Clarke County, GA"	"13059"	18	11190	160.9 (Unreliable)
	"Clayton County, GA"	"13063"	62	37315	166.2
	"Cobb County, GA"	"13067"	83	108828	76.3
	"Coffee County, GA"	"13069"	10	5748	174.0 (Unreliable)
	"Columbia County, GA"	"13073"	14	20104	69.6 (Unreliable)
	"Coweta County, GA"	"13077"	27	21393	126.2
	"DeKalb County, GA"	"13089"	103	100202	102.8
	"Dougherty County, GA"	"13095"	24	10531	227.9
	"Douglas County, GA"	"13097"	26	21739	119.6
	"Effingham County, GA"	"13103"	13	8320	156.2 (Unreliable)
	"Emanuel County, GA"	"13107"	12	2739	438.1 (Unreliable)
	"Floyd County, GA"	"13115"	29	12457	232.8
	"Forsyth County, GA"	"13117"	15	37109	40.4 (Unreliable)
	"Fulton County, GA"	"13121"	166	144064	115.2
	"Gwinnett County, GA"	"13135"	73	135854	53.7
	"Hall County, GA"	"13139"	21	26848	78.2
	"Haralson County, GA"	"13143"	11	4305	255.5 (Unreliable)
	"Harris County, GA"	"13145"	10	5220	191.6 (Unreliable)
	"Henry County, GA"	"13151"	31	34622	89.5
	"Houston County, GA"	"13153"	28	20430	137.1
	"Jackson County, GA"	"13157"	11	9293	118.4 (Unreliable)
	"Laurens County, GA"	"13175"	13	6150	211.4 (Unreliable)
	"Liberty County, GA"	"13179"	13	5902	220.3 (Unreliable)
	"Lowndes County, GA"	"13185"	18	12454	144.5 (Unreliable)
	"Murray County, GA"	"13213"	13	5765	225.5 (Unreliable)
	"Muscogee County, GA"	"13215"	61	23290	261.9
	"Newton County, GA"	"13217"	20	15349	130.3
	"Paulding County, GA"	"13223"	15	24421	61.4 (Unreliable)
	"Polk County, GA"	"13233"	10	5376	186.0 (Unreliable)
	"Richmond County, GA"	"13245"	51	23500	217.0
	"Rockdale County, GA"	"13247"	11	13213	83.3 (Unreliable)
	"Spalding County, GA"	"13255"	19	8249	230.3 (Unreliable)
	"Troup County, GA"	"13285"	16	9058	176.6 (Unreliable)
	"Walker County, GA"	"13295"	35	9376	373.3
	"Walton County, GA"	"13297"	21	13312	157.8
	"Whitfield County, GA"	"13313"	14	14077	99.5 (Unreliable)
	"Hawaii County, HI"	"15001"	31	23864	129.9
	"Honolulu County, HI"	"15003"	96	122317	78.5
	"Maui County, HI"	"15009"	19	22772	83.4 (Unreliable)
	"Ada County, ID"	"16001"	33	58059	56.8
	"Canyon County, ID"	"16027"	24	24622	97.5
	"Kootenai County, ID"	"16055"	14	19427	72.1 (Unreliable)
	"Adams County, IL"	"17001"	10	8385	119.3 (Unreliable)
	"Champaign County, IL"	"17019"	21	20616	101.9
	"Cook County, IL"	"17031"	759	670762	113.2
	"DuPage County, IL"	"17043"	63	133626	47.1
	"Jackson County, IL"	"17077"	14	5954	235.1 (Unreliable)
	"Kane County, IL"	"17089"	51	76326	66.8
