Notes,County,County Code,Deaths,Population,Crude Rate
,"Autauga County, AL",1001,48,2640,1818.2
,"Baldwin County, AL",1003,158,12105,1305.2
,"Barbour County, AL",1005,18,1387,1297.8 (Unreliable)
,"Bibb County, AL",1007,15,1085,1382.5 (Unreliable)
,"Blount County, AL",1009,62,3159,1962.6
,"Butler County, AL",1013,28,1137,2462.6
,"Calhoun County, AL",1015,139,5734,2424.1
,"Chambers County, AL",1017,39,1914,2037.6
,"Cherokee County, AL",1019,27,1663,1623.6
,"Chilton County, AL",1021,50,2069,2416.6
,"Choctaw County, AL",1023,18,874,2059.5 (Unreliable)
,"Clarke County, AL",1025,30,1508,1989.4
,"Clay County, AL",1027,18,869,2071.3 (Unreliable)
,"Cleburne County, AL",1029,17,827,2055.6 (Unreliable)
,"Coffee County, AL",1031,65,2563,2536.1
,"Colbert County, AL",1033,61,3246,1879.2
,"Conecuh County, AL",1035,11,818,1344.7 (Unreliable)
,"Coosa County, AL",1037,14,580,2413.8 (Unreliable)
,"Covington County, AL",1039,41,2415,1697.7
,"Crenshaw County, AL",1041,17,723,2351.3 (Unreliable)
,"Cullman County, AL",1043,95,4664,2036.9
,"Dale County, AL",1045,40,2498,1601.3
,"Dallas County, AL",1047,46,1985,2317.4
,"DeKalb County, AL",1049,68,3393,2004.1
,"Elmore County, AL",1051,58,3462,1675.3
,"Escambia County, AL",1053,56,2038,2747.8
,"Etowah County, AL",1055,97,5474,1772
,"Fayette County, AL",1057,21,1106,1898.7
,"Franklin County, AL",1059,38,1668,2278.2
,"Geneva County, AL",1061,28,1645,1702.1
,"Hale County, AL",1065,15,820,1829.3 (Unreliable)
,"Henry County, AL",1067,20,1000,2000
,"Houston County, AL",1069,103,5308,1940.5
,"Jackson County, AL",1071,65,3064,2121.4
,"Jefferson County, AL",1073,431,28349,1520.3
,"Lamar County, AL",1075,13,1003,1296.1 (Unreliable)
,"Lauderdale County, AL",1077,95,5553,1710.8
,"Lawrence County, AL",1079,41,1704,2406.1
,"Lee County, AL",1081,61,4779,1276.4
,"Limestone County, AL",1083,57,3940,1446.7
,"Macon County, AL",1087,19,991,1917.3 (Unreliable)
,"Madison County, AL",1089,253,16171,1564.5
,"Marengo County, AL",1091,24,1188,2020.2
,"Marion County, AL",1093,31,1994,1554.7
,"Marshall County, AL",1095,109,4983,2187.4
,"Mobile County, AL",1097,332,18561,1788.7
,"Monroe County, AL",1099,18,1186,1517.7 (Unreliable)
,"Montgomery County, AL",1101,150,9310,1611.2
,"Morgan County, AL",1103,128,6124,2090.1
,"Pickens County, AL",1107,14,1166,1200.7 (Unreliable)
,"Pike County, AL",1109,17,1484,1145.6 (Unreliable)
,"Randolph County, AL",1111,34,1444,2354.6
,"Russell County, AL",1113,35,2266,1544.6
,"St. Clair County, AL",1115,87,4188,2077.4
,"Shelby County, AL",1117,138,7974,1730.6
,"Sumter County, AL",1119,15,670,2238.8 (Unreliable)
,"Talladega County, AL",1121,82,3977,2061.9
,"Tallapoosa County, AL",1123,49,2538,1930.7
,"Tuscaloosa County, AL",1125,138,7033,1962.2
,"Walker County, AL",1127,72,3907,1842.8
,"Washington County, AL",1129,17,914,1860.0 (Unreliable)
,"Wilcox County, AL",1131,11,632,1740.5 (Unreliable)
,"Winston County, AL",1133,31,1509,2054.3
,"Anchorage Borough, AK",2020,84,7052,1191.2
,"Fairbanks North Star Borough, AK",2090,23,1996,1152.3
,"Juneau Borough, AK",2110,13,828,1570.0 (Unreliable)
,"Kenai Peninsula Borough, AK",2122,21,2226,943.4
,"Matanuska-Susitna Borough, AK",2170,41,2578,1590.4
