Notes,County,County Code,Avg Daily Sunlight (KJ/mｲ),# of Observations for Daily Sunlight,Min Daily Sunlight,Max Daily Sunlight
,"Autauga County, AL",1001,17103.72,132583,2086.2,34287.3
,"Baldwin County, AL",1003,17660.59,313378,1952.9,32756.6
,"Barbour County, AL",1005,17315.13,168742,2182.5,33725.9
,"Bibb County, AL",1007,16904.87,108477,1923.8,34350.3
,"Blount County, AL",1009,16393.63,120530,1918.4,33089.1
,"Bullock County, AL",1011,17296.02,120530,2115,33879.4
,"Butler County, AL",1013,17323.69,144636,2185,33413
,"Calhoun County, AL",1015,16447.09,120530,1933.7,33404.6
,"Chambers County, AL",1017,16997.01,120530,2225.4,33437.8
,"Cherokee County, AL",1019,16331.42,108477,1898.6,32961.1
,"Chilton County, AL",1021,16961.72,132583,2028.2,33840.9
,"Choctaw County, AL",1023,17429.24,204901,1908.7,34785.3
,"Clarke County, AL",1025,17381.62,241060,2027,33829
,"Clay County, AL",1027,16755.96,108477,2122.8,32652
,"Cleburne County, AL",1029,16487.02,96424,1959.7,33073.6
,"Coffee County, AL",1031,17386.38,132583,2134,33065.4
,"Colbert County, AL",1033,16343.48,96424,1832.4,32816.4
,"Conecuh County, AL",1035,17336.91,156689,1939.1,32842.7
,"Coosa County, AL",1037,17027.04,144636,2045.7,33545.7
,"Covington County, AL",1039,17381.3,204901,2030.3,32883.8
,"Crenshaw County, AL",1041,17367.83,132583,2191.1,33542.9
,"Cullman County, AL",1043,16360.99,156689,1932.6,33228
,"Dale County, AL",1045,17374.22,108477,2191.8,33094.2
,"Dallas County, AL",1047,17232.7,180795,2103.4,34619.8
,"DeKalb County, AL",1049,16168.46,144636,1858.7,32734.2
,"Elmore County, AL",1051,17118.28,120530,2130.1,34414.6
,"Escambia County, AL",1053,17353.24,168742,1957.5,32422
,"Etowah County, AL",1055,16365.36,108477,1901.3,33422.1
,"Fayette County, AL",1057,16720.96,144636,1788.7,34870
,"Franklin County, AL",1059,16320.33,120530,1838.2,32668.2
,"Geneva County, AL",1061,17468.74,120530,2174.2,33232.8
,"Greene County, AL",1063,17151.46,108477,1872.2,35269.9
,"Hale County, AL",1065,17097.13,120530,1908,35030.8
,"Henry County, AL",1067,17360.76,84371,2267.4,33154
,"Houston County, AL",1069,17496.7,108477,2254,33408.6
,"Jackson County, AL",1071,16063.19,216954,1920.7,32544.4
,"Jefferson County, AL",1073,16607.77,216954,1868.6,34144.8
,"Lamar County, AL",1075,16705.72,96424,1821.2,35218.8
,"Lauderdale County, AL",1077,16249.01,132583,1784.8,32565.8
,"Lawrence County, AL",1079,16302.02,144636,1974.9,32650.7
,"Lee County, AL",1081,17024.69,120530,2093.5,33864.5
,"Limestone County, AL",1083,16159.39,144636,1826.9,32893.3
,"Lowndes County, AL",1085,17289.5,132583,2106.2,34405.7
,"Macon County, AL",1087,17190.4,132583,2018.5,34063.4
,"Madison County, AL",1089,16049.5,144636,1946.1,33043.4
,"Marengo County, AL",1091,17316.7,180795,1950.5,34688.6
,"Marion County, AL",1093,16458.18,192848,1833.9,33613
,"Marshall County, AL",1095,16213.71,132583,1872.2,33129
,"Mobile County, AL",1097,17732.05,192848,1985.2,33438.6
,"Monroe County, AL",1099,17336.52,229007,1955,33645.8
,"Montgomery County, AL",1101,17317.72,132583,2089.8,34457
,"Morgan County, AL",1103,16261.05,108477,2019.2,32920.9
,"Perry County, AL",1105,17096.14,156689,2048.7,34622.7
,"Pickens County, AL",1107,16948.2,156689,1824.9,35351.7
,"Pike County, AL",1109,17321.4,144636,2172.8,33810.6
,"Randolph County, AL",1111,16784.26,108477,2124.7,33302.7
,"Russell County, AL",1113,17215.15,108477,2020.1,34064.8
,"St. Clair County, AL",1115,16537.45,120530,1961.8,33255.2
,"Shelby County, AL",1117,16750.94,144636,1995.3,33554.9
,"Sumter County, AL",1119,17228.52,180795,2017.2,35387.1
,"Talladega County, AL",1121,16639.83,180795,1984.9,33136.4
,"Tallapoosa County, AL",1123,17014.31,132583,2202.4,33265.8
,"Tuscaloosa County, AL",1125,16859.87,277219,1823.7,35229.1
,"Walker County, AL",1127,16598.78,144636,1781.3,34349.6
,"Washington County, AL",1129,17461.07,241060,1995,33791.9
,"Wilcox County, AL",1131,17309.28,144636,2182.4,34492.3
,"Winston County, AL",1133,16462.53,108477,1892.8,33016.5
,"Apache County, AZ",4001,18657.88,2386494,2843.1,31643.3
,"Cochise County, AZ",4003,20240.65,1301724,3128.5,31999.4
,"Coconino County, AZ",4005,18883.02,3700271,2685.1,31968.1
,"Gila County, AZ",4007,19891.99,964240,2845.3,32563.7
,"Graham County, AZ",4009,20165.5,855763,3279.2,32304
,"Greenlee County, AZ",4011,19866.1,397749,3188.2,32055
,"La Paz County, AZ",4012,20493.13,831657,2840.9,32213.2
,"Maricopa County, AZ",4013,20428.94,1747685,2651.8,32453.9
,"Mohave County, AZ",4015,19423.92,2567289,2265,32290.5
,"Navajo County, AZ",4017,18856.02,1928480,2872,32211.2
,"Pima County, AZ",4019,20460.15,1723579,3115.8,32301.3
,"Pinal County, AZ",4021,20279.64,1084770,2692.4,32193.9
,"Santa Cruz County, AZ",4023,20192.74,204901,3231.9,31954
,"Yavapai County, AZ",4025,19754.84,1663314,2805.2,32663.8
,"Yuma County, AZ",4027,20443.62,1024505,2650.6,32034.1
