"Notes"	"County"	"County Code"	Avg Daily Sunlight (KJ/m²)	# of Observations for Daily Sunlight	Min Daily Sunlight	Max Daily Sunlight
	"Autauga County, AL"	"01001"	17103.72	132583	2086.20	34287.30
	"Baldwin County, AL"	"01003"	17660.59	313378	1952.90	32756.60
	"Barbour County, AL"	"01005"	17315.13	168742	2182.50	33725.90
	"Bibb County, AL"	"01007"	16904.87	108477	1923.80	34350.30
	"Blount County, AL"	"01009"	16393.63	120530	1918.40	33089.10
	"Bullock County, AL"	"01011"	17296.02	120530	2115.00	33879.40
	"Butler County, AL"	"01013"	17323.69	144636	2185.00	33413.00
	"Calhoun County, AL"	"01015"	16447.09	120530	1933.70	33404.60
	"Chambers County, AL"	"01017"	16997.01	120530	2225.40	33437.80
	"Cherokee County, AL"	"01019"	16331.42	108477	1898.60	32961.10
	"Chilton County, AL"	"01021"	16961.72	132583	2028.20	33840.90
	"Choctaw County, AL"	"01023"	17429.24	204901	1908.70	34785.30
	"Clarke County, AL"	"01025"	17381.62	241060	2027.00	33829.00
	"Clay County, AL"	"01027"	16755.96	108477	2122.80	32652.00
	"Cleburne County, AL"	"01029"	16487.02	96424	1959.70	33073.60
	"Coffee County, AL"	"01031"	17386.38	132583	2134.00	33065.40
	"Colbert County, AL"	"01033"	16343.48	96424	1832.40	32816.40
	"Conecuh County, AL"	"01035"	17336.91	156689	1939.10	32842.70
	"Coosa County, AL"	"01037"	17027.04	144636	2045.70	33545.70
	"Covington County, AL"	"01039"	17381.30	204901	2030.30	32883.80
	"Crenshaw County, AL"	"01041"	17367.83	132583	2191.10	33542.90
	"Cullman County, AL"	"01043"	16360.99	156689	1932.60	33228.00
	"Dale County, AL"	"01045"	17374.22	108477	2191.80	33094.20
	"Dallas County, AL"	"01047"	17232.70	180795	2103.40	34619.80
	"DeKalb County, AL"	"01049"	16168.46	144636	1858.70	32734.20
	"Elmore County, AL"	"01051"	17118.28	120530	2130.10	34414.60
	"Escambia County, AL"	"01053"	17353.24	168742	1957.50	32422.00
	"Etowah County, AL"	"01055"	16365.36	108477	1901.30	33422.10
	"Fayette County, AL"	"01057"	16720.96	144636	1788.70	34870.00
	"Franklin County, AL"	"01059"	16320.33	120530	1838.20	32668.20
	"Geneva County, AL"	"01061"	17468.74	120530	2174.20	33232.80
	"Greene County, AL"	"01063"	17151.46	108477	1872.20	35269.90
	"Hale County, AL"	"01065"	17097.13	120530	1908.00	35030.80
	"Henry County, AL"	"01067"	17360.76	84371	2267.40	33154.00
	"Houston County, AL"	"01069"	17496.70	108477	2254.00	33408.60
	"Jackson County, AL"	"01071"	16063.19	216954	1920.70	32544.40
	"Jefferson County, AL"	"01073"	16607.77	216954	1868.60	34144.80
	"Lamar County, AL"	"01075"	16705.72	96424	1821.20	35218.80
	"Lauderdale County, AL"	"01077"	16249.01	132583	1784.80	32565.80
	"Lawrence County, AL"	"01079"	16302.02	144636	1974.90	32650.70
	"Lee County, AL"	"01081"	17024.69	120530	2093.50	33864.50
	"Limestone County, AL"	"01083"	16159.39	144636	1826.90	32893.30
	"Lowndes County, AL"	"01085"	17289.50	132583	2106.20	34405.70
	"Macon County, AL"	"01087"	17190.40	132583	2018.50	34063.40
	"Madison County, AL"	"01089"	16049.50	144636	1946.10	33043.40
	"Marengo County, AL"	"01091"	17316.70	180795	1950.50	34688.60
	"Marion County, AL"	"01093"	16458.18	192848	1833.90	33613.00
	"Marshall County, AL"	"01095"	16213.71	132583	1872.20	33129.00
	"Mobile County, AL"	"01097"	17732.05	192848	1985.20	33438.60
	"Monroe County, AL"	"01099"	17336.52	229007	1955.00	33645.80
	"Montgomery County, AL"	"01101"	17317.72	132583	2089.80	34457.00
	"Morgan County, AL"	"01103"	16261.05	108477	2019.20	32920.90
	"Perry County, AL"	"01105"	17096.14	156689	2048.70	34622.70
	"Pickens County, AL"	"01107"	16948.20	156689	1824.90	35351.70
	"Pike County, AL"	"01109"	17321.40	144636	2172.80	33810.60
	"Randolph County, AL"	"01111"	16784.26	108477	2124.70	33302.70
	"Russell County, AL"	"01113"	17215.15	108477	2020.10	34064.80
	"St. Clair County, AL"	"01115"	16537.45	120530	1961.80	33255.20
