GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC14,HC02_EST_VC15,HC02_EST_VC18
Id,Id2,Geography,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent bachelor's degree or higher
0500000US01003,1003,"Baldwin County, Alabama",23,10.6,33.6
0500000US01015,1015,"Calhoun County, Alabama",10.6,8.7,19.3
0500000US01043,1043,"Cullman County, Alabama",7.7,4.7,12.4
0500000US01049,1049,"DeKalb County, Alabama",9.8,5.3,15.1
0500000US01051,1051,"Elmore County, Alabama",16,8.9,24.9
0500000US01055,1055,"Etowah County, Alabama",11.7,7.7,19.3
0500000US01069,1069,"Houston County, Alabama",13.7,8.4,22
0500000US01073,1073,"Jefferson County, Alabama",20.6,12.7,33.3
0500000US01077,1077,"Lauderdale County, Alabama",15,9,24
0500000US01081,1081,"Lee County, Alabama",18,15.5,33.4
0500000US01083,1083,"Limestone County, Alabama",20.2,9.1,29.2
0500000US01089,1089,"Madison County, Alabama",25,16.3,41.3
0500000US01095,1095,"Marshall County, Alabama",12.8,7,19.8
0500000US01097,1097,"Mobile County, Alabama",14.8,8.3,23
0500000US01101,1101,"Montgomery County, Alabama",19.5,13.2,32.7
0500000US01103,1103,"Morgan County, Alabama",14.1,5.8,19.9
0500000US01115,1115,"St. Clair County, Alabama",11,5.3,16.3
0500000US01117,1117,"Shelby County, Alabama",27.7,15.6,43.3
0500000US01121,1121,"Talladega County, Alabama",8.9,5.4,14.3
0500000US01125,1125,"Tuscaloosa County, Alabama",19.3,13.4,32.6
0500000US01127,1127,"Walker County, Alabama",7.3,4.3,11.6
0500000US02020,2020,"Anchorage Municipality, Alaska",21.4,13.7,35.1
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",16.6,13,29.6
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",14.7,7.2,21.9
0500000US04001,4001,"Apache County, Arizona",8.3,3.8,12.1
0500000US04003,4003,"Cochise County, Arizona",14,10.7,24.7
0500000US04005,4005,"Coconino County, Arizona",21.7,15.6,37.3
0500000US04013,4013,"Maricopa County, Arizona",20.6,11.7,32.3
0500000US04015,4015,"Mohave County, Arizona",8,5.5,13.5
0500000US04017,4017,"Navajo County, Arizona",10.7,7.4,18.1
0500000US04019,4019,"Pima County, Arizona",19.5,14,33.6
0500000US04021,4021,"Pinal County, Arizona",12.7,6.8,19.5
