Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Autauga County, AL",1001,163,55416,294.1,286
,"Baldwin County, AL",1003,640,208563,306.9,228.3
,"Barbour County, AL",1005,90,25965,346.6,274.1
,"Bibb County, AL",1007,79,22643,348.9,302.8
,"Blount County, AL",1009,199,57704,344.9,284.4
,"Bullock County, AL",1011,36,10362,347.4,275.5
,"Butler County, AL",1013,108,19998,540.1,384.6
,"Calhoun County, AL",1015,519,114611,452.8,376.8
,"Chambers County, AL",1017,136,33843,401.9,285.6
,"Cherokee County, AL",1019,109,25725,423.7,294.7
,"Chilton County, AL",1021,186,43941,423.3,363.4
,"Choctaw County, AL",1023,79,12993,608,407.6
,"Clarke County, AL",1025,111,24392,455.1,316.7
,"Clay County, AL",1027,66,13492,489.2,337.4
,"Cleburne County, AL",1029,69,14924,462.3,340.1
,"Coffee County, AL",1031,173,51226,337.7,285
,"Colbert County, AL",1033,217,54216,400.3,290.2
,"Conecuh County, AL",1035,59,12395,476,332.9
,"Coosa County, AL",1037,50,10581,472.5,364.5
,"Covington County, AL",1039,170,37458,453.8,312.3
,"Crenshaw County, AL",1041,54,13913,388.1,287.2
,"Cullman County, AL",1043,326,82471,395.3,315.6
,"Dale County, AL",1045,177,49226,359.6,303.7
,"Dallas County, AL",1047,203,40008,507.4,409.9
,"DeKalb County, AL",1049,260,70900,366.7,320.8
,"Elmore County, AL",1051,229,81799,280,265.2
,"Escambia County, AL",1053,161,37728,426.7,350.5
,"Etowah County, AL",1055,459,102564,447.5,352.9
,"Fayette County, AL",1057,77,16546,465.4,326.1
,"Franklin County, AL",1059,120,31628,379.4,327.1
,"Geneva County, AL",1061,127,26614,477.2,332.2
,"Greene County, AL",1063,39,8422,463.1,328.3
,"Hale County, AL",1065,70,14952,468.2,345.3
,"Henry County, AL",1067,74,17164,431.1,287.5
,"Houston County, AL",1069,408,104056,392.1,320
,"Jackson County, AL",1071,253,52138,485.3,367.5
,"Jefferson County, AL",1073,2018,659521,306,255.2
,"Lamar County, AL",1075,69,13918,495.8,347
,"Lauderdale County, AL",1077,380,92318,411.6,298.4
,"Lawrence County, AL",1079,146,33244,439.2,375.2
,"Lee County, AL",1081,278,158991,174.9,216.9
,"Limestone County, AL",1083,256,92753,276,258.3
,"Lowndes County, AL",1085,42,10358,405.5,296.7
,"Macon County, AL",1087,97,18963,511.5,380.7
,"Madison County, AL",1089,991,356967,277.6,250.5
,"Marengo County, AL",1091,109,19673,554.1,375.5
,"Marion County, AL",1093,158,29998,526.7,369.5
,"Marshall County, AL",1095,387,95157,406.7,341
,"Mobile County, AL",1097,1462,414836,352.4,311
,"Monroe County, AL",1099,85,21530,394.8,294.9
,"Montgomery County, AL",1101,668,226349,295.1,271.3
,"Morgan County, AL",1103,454,119012,381.5,312.6
,"Perry County, AL",1105,40,9574,417.8,309.2
,"Pickens County, AL",1107,79,20324,388.7,285.8
,"Pike County, AL",1109,92,33286,276.4,249.5
,"Randolph County, AL",1111,120,22652,529.8,375.3
,"Russell County, AL",1113,190,58172,326.6,319.4
,"St. Clair County, AL",1115,293,88019,332.9,297.9
,"Shelby County, AL",1117,474,210622,225,219.4
