fips,state,county,smoking,obesity,foodenv,exercise,noinsurance,physicians,pollution,diabetes,,
1000,Alabama,,22,35,5.8,62,11,65,11,14,,
1001,Alabama,Autauga,19,38,7.2,69,9,42,11.7,14,,
1003,Alabama,Baldwin,17,31,8,72,11,73,10.3,11,,
1005,Alabama,Barbour,22,44,5.6,54,13,39,11.5,18,,
1007,Alabama,Bibb,20,38,7.6,16,10,57,11.2,15,,
1009,Alabama,Blount,20,34,8.5,23,12,23,11.7,14,,
1011,Alabama,Bullock,23,39,4.2,27,13,29,11.2,20,,
1013,Alabama,Butler,22,40,6.5,49,11,30,10.6,18,,
1015,Alabama,Calhoun,20,37,6.9,45,11,65,11.8,16,,
1017,Alabama,Chambers,22,40,6.3,62,11,50,11.4,17,,
1019,Alabama,Cherokee,19,36,8.5,33,12,35,11.4,14,,
1021,Alabama,Chilton,20,35,8.1,47,14,18,11.2,15,,
1023,Alabama,Choctaw,19,41,6.4,28,11,38,10.1,16,,
1025,Alabama,Clarke,21,40,5.4,24,11,57,10.4,19,,
1027,Alabama,Clay,19,38,7.9,64,13,37,10.6,15,,
1029,Alabama,Cleburne,20,35,8,41,12,27,11,13,,
1031,Alabama,Coffee,18,33,7.5,57,11,55,10.9,15,,
1033,Alabama,Colbert,18,33,7.4,55,10,68,10.7,18,,
1035,Alabama,Conecuh,23,39,5.2,37,13,48,10.3,20,,
1037,Alabama,Coosa,21,40,6.9,8,13,,11,19,,
1039,Alabama,Covington,21,33,7.5,51,12,51,10.5,15,,
1041,Alabama,Crenshaw,20,38,6.2,26,12,14,10.7,16,,
1043,Alabama,Cullman,20,35,8.3,46,13,58,11.6,16,,
1045,Alabama,Dale,19,37,6.7,48,11,16,11,16,,
1047,Alabama,Dallas,22,42,4.3,49,10,75,11.1,17,,
1049,Alabama,DeKalb,22,30,8.4,47,17,42,11.3,12,,
1051,Alabama,Elmore,19,36,7.6,52,9,27,11.9,15,,
1053,Alabama,Escambia,21,38,6.5,49,13,40,10.2,18,,
1055,Alabama,Etowah,23,36,7.1,45,12,79,11.5,15,,
1057,Alabama,Fayette,20,38,7.9,35,11,115,10.6,16,,
1059,Alabama,Franklin,21,33,8,58,13,44,10.5,14,,
1061,Alabama,Geneva,22,38,7.9,20,14,26,10.6,16,,
1063,Alabama,Greene,24,42,3.1,6,11,59,10.5,19,,
