,county,state,county_and_state_x,code,Deaths,Population,Crude Rate,fips,smoking,obesity,foodenv,exercise,noinsurance,physicians,pollution,diabetes,county_and_state_y,code2,sunlight,blow,ganj,smack
0,Autauga,Alabama,"Autauga County, AL",1001,163,55416,294.1,1001,19,38,7.2,69,9,42,11.7,14,"Autauga County, AL",1001,17103.72,1.158,9.282,0.276
1,Baldwin,Alabama,"Baldwin County, AL",1003,640,208563,306.9,1003,17,31,8,72,11,73,10.3,11,"Baldwin County, AL",1003,17660.59,1.158,9.282,0.276
2,Barbour,Alabama,"Barbour County, AL",1005,90,25965,346.6,1005,22,44,5.6,54,13,39,11.5,18,"Barbour County, AL",1005,17315.13,1.158,9.282,0.276
3,Bibb,Alabama,"Bibb County, AL",1007,79,22643,348.9,1007,20,38,7.6,16,10,57,11.2,15,"Bibb County, AL",1007,16904.87,1.158,9.282,0.276
4,Blount,Alabama,"Blount County, AL",1009,199,57704,344.9,1009,20,34,8.5,23,12,23,11.7,14,"Blount County, AL",1009,16393.63,1.158,9.282,0.276
5,Bullock,Alabama,"Bullock County, AL",1011,36,10362,347.4,1011,23,39,4.2,27,13,29,11.2,20,"Bullock County, AL",1011,17296.02,1.158,9.282,0.276
6,Butler,Alabama,"Butler County, AL",1013,108,19998,540.1,1013,22,40,6.5,49,11,30,10.6,18,"Butler County, AL",1013,17323.69,1.158,9.282,0.276
7,Calhoun,Alabama,"Calhoun County, AL",1015,519,114611,452.8,1015,20,37,6.9,45,11,65,11.8,16,"Calhoun County, AL",1015,16447.09,1.158,9.282,0.276
8,Chambers,Alabama,"Chambers County, AL",1017,136,33843,401.9,1017,22,40,6.3,62,11,50,11.4,17,"Chambers County, AL",1017,16997.01,1.158,9.282,0.276
9,Cherokee,Alabama,"Cherokee County, AL",1019,109,25725,423.7,1019,19,36,8.5,33,12,35,11.4,14,"Cherokee County, AL",1019,16331.42,1.158,9.282,0.276
10,Chilton,Alabama,"Chilton County, AL",1021,186,43941,423.3,1021,20,35,8.1,47,14,18,11.2,15,"Chilton County, AL",1021,16961.72,1.158,9.282,0.276
11,Choctaw,Alabama,"Choctaw County, AL",1023,79,12993,608,1023,19,41,6.4,28,11,38,10.1,16,"Choctaw County, AL",1023,17429.24,1.158,9.282,0.276
12,Clarke,Alabama,"Clarke County, AL",1025,111,24392,455.1,1025,21,40,5.4,24,11,57,10.4,19,"Clarke County, AL",1025,17381.62,1.158,9.282,0.276
13,Clay,Alabama,"Clay County, AL",1027,66,13492,489.2,1027,19,38,7.9,64,13,37,10.6,15,"Clay County, AL",1027,16755.96,1.158,9.282,0.276
14,Cleburne,Alabama,"Cleburne County, AL",1029,69,14924,462.3,1029,20,35,8,41,12,27,11,13,"Cleburne County, AL",1029,16487.02,1.158,9.282,0.276
15,Coffee,Alabama,"Coffee County, AL",1031,173,51226,337.7,1031,18,33,7.5,57,11,55,10.9,15,"Coffee County, AL",1031,17386.38,1.158,9.282,0.276
16,Colbert,Alabama,"Colbert County, AL",1033,217,54216,400.3,1033,18,33,7.4,55,10,68,10.7,18,"Colbert County, AL",1033,16343.48,1.158,9.282,0.276
17,Conecuh,Alabama,"Conecuh County, AL",1035,59,12395,476,1035,23,39,5.2,37,13,48,10.3,20,"Conecuh County, AL",1035,17336.91,1.158,9.282,0.276
18,Coosa,Alabama,"Coosa County, AL",1037,50,10581,472.5,1037,21,40,6.9,8,13,,11,19,"Coosa County, AL",1037,17027.04,1.158,9.282,0.276
19,Covington,Alabama,"Covington County, AL",1039,170,37458,453.8,1039,21,33,7.5,51,12,51,10.5,15,"Covington County, AL",1039,17381.3,1.158,9.282,0.276
20,Crenshaw,Alabama,"Crenshaw County, AL",1041,54,13913,388.1,1041,20,38,6.2,26,12,14,10.7,16,"Crenshaw County, AL",1041,17367.83,1.158,9.282,0.276
21,Cullman,Alabama,"Cullman County, AL",1043,326,82471,395.3,1043,20,35,8.3,46,13,58,11.6,16,"Cullman County, AL",1043,16360.99,1.158,9.282,0.276
22,Dale,Alabama,"Dale County, AL",1045,177,49226,359.6,1045,19,37,6.7,48,11,16,11,16,"Dale County, AL",1045,17374.22,1.158,9.282,0.276
23,Dallas,Alabama,"Dallas County, AL",1047,203,40008,507.4,1047,22,42,4.3,49,10,75,11.1,17,"Dallas County, AL",1047,17232.7,1.158,9.282,0.276
24,DeKalb,Alabama,"DeKalb County, AL",1049,260,70900,366.7,1049,22,30,8.4,47,17,42,11.3,12,"DeKalb County, AL",1049,16168.46,1.158,9.282,0.276
25,Elmore,Alabama,"Elmore County, AL",1051,229,81799,280,1051,19,36,7.6,52,9,27,11.9,15,"Elmore County, AL",1051,17118.28,1.158,9.282,0.276
26,Escambia,Alabama,"Escambia County, AL",1053,161,37728,426.7,1053,21,38,6.5,49,13,40,10.2,18,"Escambia County, AL",1053,17353.24,1.158,9.282,0.276
27,Etowah,Alabama,"Etowah County, AL",1055,459,102564,447.5,1055,23,36,7.1,45,12,79,11.5,15,"Etowah County, AL",1055,16365.36,1.158,9.282,0.276
28,Fayette,Alabama,"Fayette County, AL",1057,77,16546,465.4,1057,20,38,7.9,35,11,115,10.6,16,"Fayette County, AL",1057,16720.96,1.158,9.282,0.276
29,Franklin,Alabama,"Franklin County, AL",1059,120,31628,379.4,1059,21,33,8,58,13,44,10.5,14,"Franklin County, AL",1059,16320.33,1.158,9.282,0.276
30,Geneva,Alabama,"Geneva County, AL",1061,127,26614,477.2,1061,22,38,7.9,20,14,26,10.6,16,"Geneva County, AL",1061,17468.74,1.158,9.282,0.276
31,Greene,Alabama,"Greene County, AL",1063,39,8422,463.1,1063,24,42,3.1,6,11,59,10.5,19,"Greene County, AL",1063,17151.46,1.158,9.282,0.276
32,Hale,Alabama,"Hale County, AL",1065,70,14952,468.2,1065,22,42,6.1,30,11,13,10.8,16,"Hale County, AL",1065,17097.13,1.158,9.282,0.276
33,Henry,Alabama,"Henry County, AL",1067,74,17164,431.1,1067,20,38,7.7,26,12,29,10.9,17,"Henry County, AL",1067,17360.76,1.158,9.282,0.276
34,Houston,Alabama,"Houston County, AL",1069,408,104056,392.1,1069,22,36,7,58,11,86,10.7,15,"Houston County, AL",1069,17496.7,1.158,9.282,0.276
35,Jackson,Alabama,"Jackson County, AL",1071,253,52138,485.3,1071,22,37,7.9,48,13,52,11,16,"Jackson County, AL",1071,16063.19,1.158,9.282,0.276
36,Jefferson,Alabama,"Jefferson County, AL",1073,2018,659521,306,1073,18,33,6.2,80,10,108,13.4,13,"Jefferson County, AL",1073,16607.77,1.158,9.282,0.276
37,Lamar,Alabama,"Lamar County, AL",1075,69,13918,495.8,1075,21,35,7.7,18,11,,10.3,16,"Lamar County, AL",1075,16705.72,1.158,9.282,0.276
38,Lauderdale,Alabama,"Lauderdale County, AL",1077,380,92318,411.6,1077,19,35,7.5,59,10,51,11,14,"Lauderdale County, AL",1077,16249.01,1.158,9.282,0.276
39,Lawrence,Alabama,"Lawrence County, AL",1079,146,33244,439.2,1079,21,35,7.9,49,14,15,11.3,15,"Lawrence County, AL",1079,16302.02,1.158,9.282,0.276
40,Lee,Alabama,"Lee County, AL",1081,278,158991,174.9,1081,19,31,6.4,66,10,52,12.1,10,"Lee County, AL",1081,17024.69,1.158,9.282,0.276
41,Limestone,Alabama,"Limestone County, AL",1083,256,92753,276,1083,19,34,8.2,60,11,36,11.8,12,"Limestone County, AL",1083,16159.39,1.158,9.282,0.276
42,Lowndes,Alabama,"Lowndes County, AL",1085,42,10358,405.5,1085,22,46,4.5,5,11,10,10.9,18,"Lowndes County, AL",1085,17289.5,1.158,9.282,0.276
43,Macon,Alabama,"Macon County, AL",1087,97,18963,511.5,1087,22,47,3.9,32,10,32,11.7,19,"Macon County, AL",1087,17190.4,1.158,9.282,0.276
44,Madison,Alabama,"Madison County, AL",1089,991,356967,277.6,1089,16,32,7.5,69,9,88,11.6,13,"Madison County, AL",1089,16049.5,1.158,9.282,0.276
45,Marengo,Alabama,"Marengo County, AL",1091,109,19673,554.1,1091,21,41,5.3,45,10,41,10.6,19,"Marengo County, AL",1091,17316.7,1.158,9.282,0.276
46,Marion,Alabama,"Marion County, AL",1093,158,29998,526.7,1093,21,36,7.9,46,11,30,10.5,18,"Marion County, AL",1093,16458.18,1.158,9.282,0.276
47,Marshall,Alabama,"Marshall County, AL",1095,387,95157,406.7,1095,22,33,8.1,62,14,59,11.8,13,"Marshall County, AL",1095,16213.71,1.158,9.282,0.276
48,Mobile,Alabama,"Mobile County, AL",1097,1462,414836,352.4,1097,19,37,6.4,72,12,66,10.8,15,"Mobile County, AL",1097,17732.05,1.158,9.282,0.276
49,Monroe,Alabama,"Monroe County, AL",1099,85,21530,394.8,1099,22,39,5,52,12,37,10.4,17,"Monroe County, AL",1099,17336.52,1.158,9.282,0.276
50,Montgomery,Alabama,"Montgomery County, AL",1101,668,226349,295.1,1101,20,37,5.4,77,11,97,11.9,13,"Montgomery County, AL",1101,17317.72,1.158,9.282,0.276
51,Morgan,Alabama,"Morgan County, AL",1103,454,119012,381.5,1103,20,32,8,57,11,55,11.6,13,"Morgan County, AL",1103,16261.05,1.158,9.282,0.276
52,Perry,Alabama,"Perry County, AL",1105,40,9574,417.8,1105,23,45,4.8,53,11,31,10.7,20,"Perry County, AL",1105,17096.14,1.158,9.282,0.276
53,Pickens,Alabama,"Pickens County, AL",1107,79,20324,388.7,1107,21,36,6.9,6,12,39,10.5,16,"Pickens County, AL",1107,16948.2,1.158,9.282,0.276
54,Pike,Alabama,"Pike County, AL",1109,92,33286,276.4,1109,22,43,6.3,62,13,48,11,13,"Pike County, AL",1109,17321.4,1.158,9.282,0.276
55,Randolph,Alabama,"Randolph County, AL",1111,120,22652,529.8,1111,20,37,7.2,35,12,26,11,15,"Randolph County, AL",1111,16784.26,1.158,9.282,0.276
56,Russell,Alabama,"Russell County, AL",1113,190,58172,326.6,1113,22,40,6.6,70,11,22,12.1,13,"Russell County, AL",1113,17215.15,1.158,9.282,0.276
57,St. Clair,Alabama,"St. Clair County, AL",1115,293,88019,332.9,1115,20,36,8.4,48,9,17,12,12,"St. Clair County, AL",1115,16537.45,1.158,9.282,0.276
58,Shelby,Alabama,"Shelby County, AL",1117,474,210622,225,1117,17,33,8.6,87,7,85,12,9,"Shelby County, AL",1117,16750.94,1.158,9.282,0.276
59,Sumter,Alabama,"Sumter County, AL",1119,47,13040,360.4,1119,23,43,4.5,18,13,54,10.4,20,"Sumter County, AL",1119,17228.52,1.158,9.282,0.276
60,Talladega,Alabama,"Talladega County, AL",1121,329,80103,410.7,1121,21,41,6.8,60,10,31,11.5,16,"Talladega County, AL",1121,16639.83,1.158,9.282,0.276
61,Tallapoosa,Alabama,"Tallapoosa County, AL",1123,181,40727,444.4,1123,21,35,7.1,71,11,42,11.4,16,"Tallapoosa County, AL",1123,17014.31,1.158,9.282,0.276
62,Tuscaloosa,Alabama,"Tuscaloosa County, AL",1125,570,206102,276.6,1125,20,34,7,71,9,73,11.3,13,"Tuscaloosa County, AL",1125,16859.87,1.158,9.282,0.276
63,Walker,Alabama,"Walker County, AL",1127,378,64967,581.8,1127,20,38,7.4,46,11,46,11.6,15,"Walker County, AL",1127,16598.78,1.158,9.282,0.276
64,Washington,Alabama,"Washington County, AL",1129,64,16756,382,1129,21,40,7.2,18,13,12,10.1,17,"Washington County, AL",1129,17461.07,1.158,9.282,0.276
65,Wilcox,Alabama,"Wilcox County, AL",1131,43,10986,391.4,1131,24,44,2.1,10,11,36,10.4,20,"Wilcox County, AL",1131,17309.28,1.158,9.282,0.276
66,Winston,Alabama,"Winston County, AL",1133,98,23805,411.7,1133,23,38,7.9,76,13,50,11,17,"Winston County, AL",1133,16462.53,1.158,9.282,0.276
