zip,county,res_ratio,bus_ratio,oth_ratio,tot_ratio
00501,36103,0.000000000,1.000000000,0.000000000,1.000000000
00601,72001,0.808902395,0.817955112,0.896774194,0.811707317
00601,72113,0.191097605,0.182044888,0.103225806,0.188292683
00602,72003,1.000000000,0.998765432,1.000000000,0.999918527
00602,72005,0.000000000,0.001234568,0.000000000,0.000081473
00603,72005,0.969118473,0.989795918,0.991103203,0.970899743
00603,72071,0.008646828,0.000927644,0.003558719,0.008071979
00603,72099,0.022234700,0.009276438,0.005338078,0.021028278
00604,72005,1.000000000,1.000000000,1.000000000,1.000000000
00605,72005,1.000000000,1.000000000,1.000000000,1.000000000
00606,72093,0.997265625,1.000000000,1.000000000,0.997436836
00606,72153,0.002734375,0.000000000,0.000000000,0.002563164
00610,72011,1.000000000,1.000000000,1.000000000,1.000000000
00611,72141,1.000000000,1.000000000,1.000000000,1.000000000
00612,72013,0.996010235,0.999185004,0.996789727,0.996326905
00612,72054,0.002818856,0.000407498,0.000000000,0.002525253
00612,72065,0.000216835,0.000000000,0.000000000,0.000191307
00612,72141,0.000954074,0.000407498,0.003210273,0.000956535
00613,72013,1.000000000,1.000000000,1.000000000,1.000000000
00614,72013,1.000000000,1.000000000,1.000000000,1.000000000
00616,72013,1.000000000,1.000000000,1.000000000,1.000000000
00617,72017,0.983228708,1.000000000,1.000000000,0.984324372
00617,72054,0.016771292,0.000000000,0.000000000,0.015675628
00622,72023,1.000000000,1.000000000,1.000000000,1.000000000
00623,72023,0.999150771,1.000000000,1.000000000,0.999208427
00623,72097,0.000849229,0.000000000,0.000000000,0.000791573
00624,72059,0.104461518,0.169230769,0.000000000,0.107215706
00624,72111,0.894460170,0.830769231,1.000000000,0.891764406
00624,72113,0.001078312,0.000000000,0.000000000,0.001019888
00627,72027,1.000000000,1.000000000,1.000000000,1.000000000
00631,72081,0.000000000,0.000000000,1.000000000,1.000000000
00637,72121,1.000000000,1.000000000,1.000000000,1.000000000
00638,72039,0.998733777,0.996774194,1.000000000,0.998651685
00638,72091,0.000949668,0.000000000,0.000000000,0.000898876
00638,72107,0.000316556,0.003225806,0.000000000,0.000449438
00641,72113,0.028327432,0.004511278,0.326530612,0.031015940
00641,72141,0.971672568,0.995488722,0.673469388,0.968984060
00646,72051,0.980540166,0.980926431,1.000000000,0.980695474
