,county,state,county_and_state_x,code,Deaths,Population,Crude Rate,fips,smoking,obesity,foodenv,exercise,noinsurance,physicians,pollution,diabetes,county_and_state_y,code2,sunlight,blow,ganj,smack
0,Autauga,Alabama,"Autauga County, AL",1001.0,163.0,55416.0,294.1,1001.0,19.0,38.0,7.2,69.0,9.0,42.0,11.7,14.0,"Autauga County, AL",1001.0,17103.72,1.158,9.282,0.276
1,Baldwin,Alabama,"Baldwin County, AL",1003.0,640.0,208563.0,306.9,1003.0,17.0,31.0,8.0,72.0,11.0,73.0,10.3,11.0,"Baldwin County, AL",1003.0,17660.59,1.158,9.282,0.276
2,Barbour,Alabama,"Barbour County, AL",1005.0,90.0,25965.0,346.6,1005.0,22.0,44.0,5.6,54.0,13.0,39.0,11.5,18.0,"Barbour County, AL",1005.0,17315.13,1.158,9.282,0.276
3,Bibb,Alabama,"Bibb County, AL",1007.0,79.0,22643.0,348.9,1007.0,20.0,38.0,7.6,16.0,10.0,57.0,11.2,15.0,"Bibb County, AL",1007.0,16904.87,1.158,9.282,0.276
4,Blount,Alabama,"Blount County, AL",1009.0,199.0,57704.0,344.9,1009.0,20.0,34.0,8.5,23.0,12.0,23.0,11.7,14.0,"Blount County, AL",1009.0,16393.63,1.158,9.282,0.276
5,Bullock,Alabama,"Bullock County, AL",1011.0,36.0,10362.0,347.4,1011.0,23.0,39.0,4.2,27.0,13.0,29.0,11.2,20.0,"Bullock County, AL",1011.0,17296.02,1.158,9.282,0.276
6,Butler,Alabama,"Butler County, AL",1013.0,108.0,19998.0,540.1,1013.0,22.0,40.0,6.5,49.0,11.0,30.0,10.6,18.0,"Butler County, AL",1013.0,17323.69,1.158,9.282,0.276
7,Calhoun,Alabama,"Calhoun County, AL",1015.0,519.0,114611.0,452.8,1015.0,20.0,37.0,6.9,45.0,11.0,65.0,11.8,16.0,"Calhoun County, AL",1015.0,16447.09,1.158,9.282,0.276
8,Chambers,Alabama,"Chambers County, AL",1017.0,136.0,33843.0,401.9,1017.0,22.0,40.0,6.3,62.0,11.0,50.0,11.4,17.0,"Chambers County, AL",1017.0,16997.01,1.158,9.282,0.276
9,Cherokee,Alabama,"Cherokee County, AL",1019.0,109.0,25725.0,423.7,1019.0,19.0,36.0,8.5,33.0,12.0,35.0,11.4,14.0,"Cherokee County, AL",1019.0,16331.42,1.158,9.282,0.276
10,Chilton,Alabama,"Chilton County, AL",1021.0,186.0,43941.0,423.3,1021.0,20.0,35.0,8.1,47.0,14.0,18.0,11.2,15.0,"Chilton County, AL",1021.0,16961.72,1.158,9.282,0.276
11,Choctaw,Alabama,"Choctaw County, AL",1023.0,79.0,12993.0,608,1023.0,19.0,41.0,6.4,28.0,11.0,38.0,10.1,16.0,"Choctaw County, AL",1023.0,17429.24,1.158,9.282,0.276
12,Clarke,Alabama,"Clarke County, AL",1025.0,111.0,24392.0,455.1,1025.0,21.0,40.0,5.4,24.0,11.0,57.0,10.4,19.0,"Clarke County, AL",1025.0,17381.62,1.158,9.282,0.276
13,Clay,Alabama,"Clay County, AL",1027.0,66.0,13492.0,489.2,1027.0,19.0,38.0,7.9,64.0,13.0,37.0,10.6,15.0,"Clay County, AL",1027.0,16755.96,1.158,9.282,0.276
14,Cleburne,Alabama,"Cleburne County, AL",1029.0,69.0,14924.0,462.3,1029.0,20.0,35.0,8.0,41.0,12.0,27.0,11.0,13.0,"Cleburne County, AL",1029.0,16487.02,1.158,9.282,0.276
15,Coffee,Alabama,"Coffee County, AL",1031.0,173.0,51226.0,337.7,1031.0,18.0,33.0,7.5,57.0,11.0,55.0,10.9,15.0,"Coffee County, AL",1031.0,17386.38,1.158,9.282,0.276
16,Colbert,Alabama,"Colbert County, AL",1033.0,217.0,54216.0,400.3,1033.0,18.0,33.0,7.4,55.0,10.0,68.0,10.7,18.0,"Colbert County, AL",1033.0,16343.48,1.158,9.282,0.276
17,Conecuh,Alabama,"Conecuh County, AL",1035.0,59.0,12395.0,476,1035.0,23.0,39.0,5.2,37.0,13.0,48.0,10.3,20.0,"Conecuh County, AL",1035.0,17336.91,1.158,9.282,0.276
18,Coosa,Alabama,"Coosa County, AL",1037.0,50.0,10581.0,472.5,1037.0,21.0,40.0,6.9,8.0,13.0,,11.0,19.0,"Coosa County, AL",1037.0,17027.04,1.158,9.282,0.276
19,Covington,Alabama,"Covington County, AL",1039.0,170.0,37458.0,453.8,1039.0,21.0,33.0,7.5,51.0,12.0,51.0,10.5,15.0,"Covington County, AL",1039.0,17381.3,1.158,9.282,0.276
20,Crenshaw,Alabama,"Crenshaw County, AL",1041.0,54.0,13913.0,388.1,1041.0,20.0,38.0,6.2,26.0,12.0,14.0,10.7,16.0,"Crenshaw County, AL",1041.0,17367.83,1.158,9.282,0.276
21,Cullman,Alabama,"Cullman County, AL",1043.0,326.0,82471.0,395.3,1043.0,20.0,35.0,8.3,46.0,13.0,58.0,11.6,16.0,"Cullman County, AL",1043.0,16360.99,1.158,9.282,0.276
22,Dale,Alabama,"Dale County, AL",1045.0,177.0,49226.0,359.6,1045.0,19.0,37.0,6.7,48.0,11.0,16.0,11.0,16.0,"Dale County, AL",1045.0,17374.22,1.158,9.282,0.276
23,Dallas,Alabama,"Dallas County, AL",1047.0,203.0,40008.0,507.4,1047.0,22.0,42.0,4.3,49.0,10.0,75.0,11.1,17.0,"Dallas County, AL",1047.0,17232.7,1.158,9.282,0.276
24,DeKalb,Alabama,"DeKalb County, AL",1049.0,260.0,70900.0,366.7,1049.0,22.0,30.0,8.4,47.0,17.0,42.0,11.3,12.0,"DeKalb County, AL",1049.0,16168.46,1.158,9.282,0.276
25,Elmore,Alabama,"Elmore County, AL",1051.0,229.0,81799.0,280,1051.0,19.0,36.0,7.6,52.0,9.0,27.0,11.9,15.0,"Elmore County, AL",1051.0,17118.28,1.158,9.282,0.276
26,Escambia,Alabama,"Escambia County, AL",1053.0,161.0,37728.0,426.7,1053.0,21.0,38.0,6.5,49.0,13.0,40.0,10.2,18.0,"Escambia County, AL",1053.0,17353.24,1.158,9.282,0.276
27,Etowah,Alabama,"Etowah County, AL",1055.0,459.0,102564.0,447.5,1055.0,23.0,36.0,7.1,45.0,12.0,79.0,11.5,15.0,"Etowah County, AL",1055.0,16365.36,1.158,9.282,0.276
28,Fayette,Alabama,"Fayette County, AL",1057.0,77.0,16546.0,465.4,1057.0,20.0,38.0,7.9,35.0,11.0,115.0,10.6,16.0,"Fayette County, AL",1057.0,16720.96,1.158,9.282,0.276
29,Franklin,Alabama,"Franklin County, AL",1059.0,120.0,31628.0,379.4,1059.0,21.0,33.0,8.0,58.0,13.0,44.0,10.5,14.0,"Franklin County, AL",1059.0,16320.33,1.158,9.282,0.276
30,Geneva,Alabama,"Geneva County, AL",1061.0,127.0,26614.0,477.2,1061.0,22.0,38.0,7.9,20.0,14.0,26.0,10.6,16.0,"Geneva County, AL",1061.0,17468.74,1.158,9.282,0.276
31,Greene,Alabama,"Greene County, AL",1063.0,39.0,8422.0,463.1,1063.0,24.0,42.0,3.1,6.0,11.0,59.0,10.5,19.0,"Greene County, AL",1063.0,17151.46,1.158,9.282,0.276
32,Hale,Alabama,"Hale County, AL",1065.0,70.0,14952.0,468.2,1065.0,22.0,42.0,6.1,30.0,11.0,13.0,10.8,16.0,"Hale County, AL",1065.0,17097.13,1.158,9.282,0.276
33,Henry,Alabama,"Henry County, AL",1067.0,74.0,17164.0,431.1,1067.0,20.0,38.0,7.7,26.0,12.0,29.0,10.9,17.0,"Henry County, AL",1067.0,17360.76,1.158,9.282,0.276
34,Houston,Alabama,"Houston County, AL",1069.0,408.0,104056.0,392.1,1069.0,22.0,36.0,7.0,58.0,11.0,86.0,10.7,15.0,"Houston County, AL",1069.0,17496.7,1.158,9.282,0.276
35,Jackson,Alabama,"Jackson County, AL",1071.0,253.0,52138.0,485.3,1071.0,22.0,37.0,7.9,48.0,13.0,52.0,11.0,16.0,"Jackson County, AL",1071.0,16063.19,1.158,9.282,0.276
36,Jefferson,Alabama,"Jefferson County, AL",1073.0,2018.0,659521.0,306,1073.0,18.0,33.0,6.2,80.0,10.0,108.0,13.4,13.0,"Jefferson County, AL",1073.0,16607.77,1.158,9.282,0.276
37,Lamar,Alabama,"Lamar County, AL",1075.0,69.0,13918.0,495.8,1075.0,21.0,35.0,7.7,18.0,11.0,,10.3,16.0,"Lamar County, AL",1075.0,16705.72,1.158,9.282,0.276
38,Lauderdale,Alabama,"Lauderdale County, AL",1077.0,380.0,92318.0,411.6,1077.0,19.0,35.0,7.5,59.0,10.0,51.0,11.0,14.0,"Lauderdale County, AL",1077.0,16249.01,1.158,9.282,0.276
39,Lawrence,Alabama,"Lawrence County, AL",1079.0,146.0,33244.0,439.2,1079.0,21.0,35.0,7.9,49.0,14.0,15.0,11.3,15.0,"Lawrence County, AL",1079.0,16302.02,1.158,9.282,0.276
40,Lee,Alabama,"Lee County, AL",1081.0,278.0,158991.0,174.9,1081.0,19.0,31.0,6.4,66.0,10.0,52.0,12.1,10.0,"Lee County, AL",1081.0,17024.69,1.158,9.282,0.276
41,Limestone,Alabama,"Limestone County, AL",1083.0,256.0,92753.0,276,1083.0,19.0,34.0,8.2,60.0,11.0,36.0,11.8,12.0,"Limestone County, AL",1083.0,16159.39,1.158,9.282,0.276
42,Lowndes,Alabama,"Lowndes County, AL",1085.0,42.0,10358.0,405.5,1085.0,22.0,46.0,4.5,5.0,11.0,10.0,10.9,18.0,"Lowndes County, AL",1085.0,17289.5,1.158,9.282,0.276
43,Macon,Alabama,"Macon County, AL",1087.0,97.0,18963.0,511.5,1087.0,22.0,47.0,3.9,32.0,10.0,32.0,11.7,19.0,"Macon County, AL",1087.0,17190.4,1.158,9.282,0.276
44,Madison,Alabama,"Madison County, AL",1089.0,991.0,356967.0,277.6,1089.0,16.0,32.0,7.5,69.0,9.0,88.0,11.6,13.0,"Madison County, AL",1089.0,16049.5,1.158,9.282,0.276
45,Marengo,Alabama,"Marengo County, AL",1091.0,109.0,19673.0,554.1,1091.0,21.0,41.0,5.3,45.0,10.0,41.0,10.6,19.0,"Marengo County, AL",1091.0,17316.7,1.158,9.282,0.276
46,Marion,Alabama,"Marion County, AL",1093.0,158.0,29998.0,526.7,1093.0,21.0,36.0,7.9,46.0,11.0,30.0,10.5,18.0,"Marion County, AL",1093.0,16458.18,1.158,9.282,0.276
47,Marshall,Alabama,"Marshall County, AL",1095.0,387.0,95157.0,406.7,1095.0,22.0,33.0,8.1,62.0,14.0,59.0,11.8,13.0,"Marshall County, AL",1095.0,16213.71,1.158,9.282,0.276
48,Mobile,Alabama,"Mobile County, AL",1097.0,1462.0,414836.0,352.4,1097.0,19.0,37.0,6.4,72.0,12.0,66.0,10.8,15.0,"Mobile County, AL",1097.0,17732.05,1.158,9.282,0.276
49,Monroe,Alabama,"Monroe County, AL",1099.0,85.0,21530.0,394.8,1099.0,22.0,39.0,5.0,52.0,12.0,37.0,10.4,17.0,"Monroe County, AL",1099.0,17336.52,1.158,9.282,0.276
50,Montgomery,Alabama,"Montgomery County, AL",1101.0,668.0,226349.0,295.1,1101.0,20.0,37.0,5.4,77.0,11.0,97.0,11.9,13.0,"Montgomery County, AL",1101.0,17317.72,1.158,9.282,0.276
51,Morgan,Alabama,"Morgan County, AL",1103.0,454.0,119012.0,381.5,1103.0,20.0,32.0,8.0,57.0,11.0,55.0,11.6,13.0,"Morgan County, AL",1103.0,16261.05,1.158,9.282,0.276
52,Perry,Alabama,"Perry County, AL",1105.0,40.0,9574.0,417.8,1105.0,23.0,45.0,4.8,53.0,11.0,31.0,10.7,20.0,"Perry County, AL",1105.0,17096.14,1.158,9.282,0.276
53,Pickens,Alabama,"Pickens County, AL",1107.0,79.0,20324.0,388.7,1107.0,21.0,36.0,6.9,6.0,12.0,39.0,10.5,16.0,"Pickens County, AL",1107.0,16948.2,1.158,9.282,0.276
54,Pike,Alabama,"Pike County, AL",1109.0,92.0,33286.0,276.4,1109.0,22.0,43.0,6.3,62.0,13.0,48.0,11.0,13.0,"Pike County, AL",1109.0,17321.4,1.158,9.282,0.276
55,Randolph,Alabama,"Randolph County, AL",1111.0,120.0,22652.0,529.8,1111.0,20.0,37.0,7.2,35.0,12.0,26.0,11.0,15.0,"Randolph County, AL",1111.0,16784.26,1.158,9.282,0.276
56,Russell,Alabama,"Russell County, AL",1113.0,190.0,58172.0,326.6,1113.0,22.0,40.0,6.6,70.0,11.0,22.0,12.1,13.0,"Russell County, AL",1113.0,17215.15,1.158,9.282,0.276
57,St. Clair,Alabama,"St. Clair County, AL",1115.0,293.0,88019.0,332.9,1115.0,20.0,36.0,8.4,48.0,9.0,17.0,12.0,12.0,"St. Clair County, AL",1115.0,16537.45,1.158,9.282,0.276
58,Shelby,Alabama,"Shelby County, AL",1117.0,474.0,210622.0,225,1117.0,17.0,33.0,8.6,87.0,7.0,85.0,12.0,9.0,"Shelby County, AL",1117.0,16750.94,1.158,9.282,0.276
59,Sumter,Alabama,"Sumter County, AL",1119.0,47.0,13040.0,360.4,1119.0,23.0,43.0,4.5,18.0,13.0,54.0,10.4,20.0,"Sumter County, AL",1119.0,17228.52,1.158,9.282,0.276
60,Talladega,Alabama,"Talladega County, AL",1121.0,329.0,80103.0,410.7,1121.0,21.0,41.0,6.8,60.0,10.0,31.0,11.5,16.0,"Talladega County, AL",1121.0,16639.83,1.158,9.282,0.276
61,Tallapoosa,Alabama,"Tallapoosa County, AL",1123.0,181.0,40727.0,444.4,1123.0,21.0,35.0,7.1,71.0,11.0,42.0,11.4,16.0,"Tallapoosa County, AL",1123.0,17014.31,1.158,9.282,0.276
62,Tuscaloosa,Alabama,"Tuscaloosa County, AL",1125.0,570.0,206102.0,276.6,1125.0,20.0,34.0,7.0,71.0,9.0,73.0,11.3,13.0,"Tuscaloosa County, AL",1125.0,16859.87,1.158,9.282,0.276
63,Walker,Alabama,"Walker County, AL",1127.0,378.0,64967.0,581.8,1127.0,20.0,38.0,7.4,46.0,11.0,46.0,11.6,15.0,"Walker County, AL",1127.0,16598.78,1.158,9.282,0.276
64,Washington,Alabama,"Washington County, AL",1129.0,64.0,16756.0,382,1129.0,21.0,40.0,7.2,18.0,13.0,12.0,10.1,17.0,"Washington County, AL",1129.0,17461.07,1.158,9.282,0.276
65,Wilcox,Alabama,"Wilcox County, AL",1131.0,43.0,10986.0,391.4,1131.0,24.0,44.0,2.1,10.0,11.0,36.0,10.4,20.0,"Wilcox County, AL",1131.0,17309.28,1.158,9.282,0.276
66,Winston,Alabama,"Winston County, AL",1133.0,98.0,23805.0,411.7,1133.0,23.0,38.0,7.9,76.0,13.0,50.0,11.0,17.0,"Winston County, AL",1133.0,16462.53,1.158,9.282,0.276
67,,Alabama,,,,,,1000.0,22.0,35.0,5.8,62.0,11.0,65.0,11.0,14.0,,,,1.158,9.282,0.276
68,"Anchorage Borough, AK",,"Anchorage Borough, AK",2020.0,386.0,298192.0,129.4,,,,,,,,,,,,,,,
69,"Bethel Census Area, AK",,"Bethel Census Area, AK",2050.0,24.0,17968.0,133.6,,,,,,,,,,,,,,,
70,"Dillingham Census Area, AK",,"Dillingham Census Area, AK",2070.0,11.0,4954.0,222.0 (Unreliable),,,,,,,,,,,,,,,
71,"Fairbanks North Star Borough, AK",,"Fairbanks North Star Borough, AK",2090.0,123.0,100605.0,122.3,,,,,,,,,,,,,,,
72,"Juneau Borough, AK",,"Juneau Borough, AK",2110.0,60.0,32468.0,184.8,,,,,,,,,,,,,,,
73,"Kenai Peninsula Borough, AK",,"Kenai Peninsula Borough, AK",2122.0,129.0,58506.0,220.5,,,,,,,,,,,,,,,
74,"Ketchikan Gateway Borough, AK",,"Ketchikan Gateway Borough, AK",2130.0,24.0,13746.0,174.6,,,,,,,,,,,,,,,
75,"Matanuska-Susitna Borough, AK",,"Matanuska-Susitna Borough, AK",2170.0,154.0,104365.0,147.6,,,,,,,,,,,,,,,
76,"Nome Census Area, AK",,"Nome Census Area, AK",2180.0,24.0,9917.0,242,,,,,,,,,,,,,,,
77,"North Slope Borough, AK",,"North Slope Borough, AK",2185.0,20.0,9606.0,208.2,,,,,,,,,,,,,,,
78,"Northwest Arctic Borough, AK",,"Northwest Arctic Borough, AK",2188.0,19.0,7673.0,247.6 (Unreliable),,,,,,,,,,,,,,,
79,"Prince of Wales-Hyder Census Area, AK",,"Prince of Wales-Hyder Census Area, AK",2198.0,17.0,6347.0,267.8 (Unreliable),,,,,,,,,,,,,,,
80,"Sitka Borough, AK",,"Sitka Borough, AK",2220.0,23.0,8830.0,260.5,,,,,,,,,,,,,,,
81,"Valdez-Cordova Census Area, AK",,"Valdez-Cordova Census Area, AK",2261.0,10.0,9355.0,106.9 (Unreliable),,,,,,,,,,,,,,,
82,"Wade Hampton Census Area, AK",,"Wade Hampton Census Area, AK",2270.0,11.0,8049.0,136.7 (Unreliable),,,,,,,,,,,,,,,
83,"District of Columbia, DC",,"District of Columbia, DC",11001.0,1752.0,681170.0,257.2,,,,,,,,,,,,,,,
84,"Acadia Parish, LA",,"Acadia Parish, LA",22001.0,199.0,62645.0,317.7,,,,,,,,,,,,,,,
85,"Allen Parish, LA",,"Allen Parish, LA",22003.0,76.0,25684.0,295.9,,,,,,,,,,,,,,,
86,"Ascension Parish, LA",,"Ascension Parish, LA",22005.0,253.0,121587.0,208.1,,,,,,,,,,,,,,,
87,"Assumption Parish, LA",,"Assumption Parish, LA",22007.0,68.0,22695.0,299.6,,,,,,,,,,,,,,,
88,"Avoyelles Parish, LA",,"Avoyelles Parish, LA",22009.0,178.0,41117.0,432.9,,,,,,,,,,,,,,,
89,"Beauregard Parish, LA",,"Beauregard Parish, LA",22011.0,146.0,36927.0,395.4,,,,,,,,,,,,,,,
90,"Bienville Parish, LA",,"Bienville Parish, LA",22013.0,67.0,13865.0,483.2,,,,,,,,,,,,,,,
91,"Bossier Parish, LA",,"Bossier Parish, LA",22015.0,336.0,126057.0,266.5,,,,,,,,,,,,,,,
92,"Caddo Parish, LA",,"Caddo Parish, LA",22017.0,713.0,248851.0,286.5,,,,,,,,,,,,,,,
93,"Calcasieu Parish, LA",,"Calcasieu Parish, LA",22019.0,788.0,200601.0,392.8,,,,,,,,,,,,,,,
94,"Caldwell Parish, LA",,"Caldwell Parish, LA",22021.0,53.0,10087.0,525.4,,,,,,,,,,,,,,,
95,"Cameron Parish, LA",,"Cameron Parish, LA",22023.0,14.0,6882.0,203.4 (Unreliable),,,,,,,,,,,,,,,
96,"Catahoula Parish, LA",,"Catahoula Parish, LA",22025.0,65.0,9921.0,655.2,,,,,,,,,,,,,,,
97,"Claiborne Parish, LA",,"Claiborne Parish, LA",22027.0,77.0,16132.0,477.3,,,,,,,,,,,,,,,
98,"Concordia Parish, LA",,"Concordia Parish, LA",22029.0,64.0,19920.0,321.3,,,,,,,,,,,,,,,
99,"De Soto Parish, LA",,"De Soto Parish, LA",22031.0,88.0,27149.0,324.1,,,,,,,,,,,,,,,
100,"East Baton Rouge Parish, LA",,"East Baton Rouge Parish, LA",22033.0,1223.0,447037.0,273.6,,,,,,,,,,,,,,,
101,"East Carroll Parish, LA",,"East Carroll Parish, LA",22035.0,22.0,7271.0,302.6,,,,,,,,,,,,,,,
102,"East Feliciana Parish, LA",,"East Feliciana Parish, LA",22037.0,96.0,19683.0,487.7,,,,,,,,,,,,,,,
103,"Evangeline Parish, LA",,"Evangeline Parish, LA",22039.0,104.0,33709.0,308.5,,,,,,,,,,,,,,,
104,"Franklin Parish, LA",,"Franklin Parish, LA",22041.0,172.0,20330.0,846,,,,,,,,,,,,,,,
105,"Grant Parish, LA",,"Grant Parish, LA",22043.0,59.0,22365.0,263.8,,,,,,,,,,,,,,,
106,"Iberia Parish, LA",,"Iberia Parish, LA",22045.0,250.0,73273.0,341.2,,,,,,,,,,,,,,,
107,"Iberville Parish, LA",,"Iberville Parish, LA",22047.0,106.0,32920.0,322,,,,,,,,,,,,,,,
108,"Jackson Parish, LA",,"Jackson Parish, LA",22049.0,77.0,15808.0,487.1,,,,,,,,,,,,,,,
109,"Jefferson Parish, LA",,"Jefferson Parish, LA",22051.0,1250.0,436523.0,286.4,,,,,,,,,,,,,,,
