"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	21	6851	306.5
	"Baldwin County, AL"	"01003"	75	29406	255.0
	"Barbour County, AL"	"01005"	14	3292	425.3 (Unreliable)
	"Bibb County, AL"	"01007"	15	2811	533.6 (Unreliable)
	"Blount County, AL"	"01009"	26	7550	344.4
	"Butler County, AL"	"01013"	17	2816	603.7 (Unreliable)
	"Calhoun County, AL"	"01015"	85	15947	533.0
	"Chambers County, AL"	"01017"	22	4874	451.4
	"Cherokee County, AL"	"01019"	22	3987	551.8
	"Chilton County, AL"	"01021"	26	5911	439.9
	"Choctaw County, AL"	"01023"	15	1977	758.7 (Unreliable)
	"Clarke County, AL"	"01025"	20	3408	586.9
	"Clay County, AL"	"01027"	13	1878	692.2 (Unreliable)
	"Cleburne County, AL"	"01029"	12	2046	586.5 (Unreliable)
	"Coffee County, AL"	"01031"	27	6420	420.6
	"Colbert County, AL"	"01033"	25	7600	328.9
	"Covington County, AL"	"01039"	23	5416	424.7
	"Cullman County, AL"	"01043"	36	11074	325.1
	"Dale County, AL"	"01045"	29	6425	451.4
	"Dallas County, AL"	"01047"	39	5713	682.7
	"DeKalb County, AL"	"01049"	34	9086	374.2
	"Elmore County, AL"	"01051"	30	10416	288.0
	"Escambia County, AL"	"01053"	25	4885	511.8
	"Etowah County, AL"	"01055"	53	14239	372.2
	"Franklin County, AL"	"01059"	16	3886	411.7 (Unreliable)
	"Geneva County, AL"	"01061"	17	3788	448.8 (Unreliable)
	"Hale County, AL"	"01065"	16	2143	746.6 (Unreliable)
	"Houston County, AL"	"01069"	51	13716	371.8
	"Jackson County, AL"	"01071"	41	7691	533.1
	"Jefferson County, AL"	"01073"	305	87792	347.4
	"Lamar County, AL"	"01075"	11	2028	542.4 (Unreliable)
	"Lauderdale County, AL"	"01077"	50	12722	393.0
	"Lawrence County, AL"	"01079"	19	4702	404.1 (Unreliable)
	"Lee County, AL"	"01081"	34	16496	206.1
	"Limestone County, AL"	"01083"	42	12067	348.1
	"Macon County, AL"	"01087"	16	2671	599.0 (Unreliable)
	"Madison County, AL"	"01089"	136	47962	283.6
	"Marengo County, AL"	"01091"	15	2746	546.2 (Unreliable)
	"Marion County, AL"	"01093"	20	4107	487.0
	"Marshall County, AL"	"01095"	50	12139	411.9
	"Mobile County, AL"	"01097"	209	54861	381.0
	"Montgomery County, AL"	"01101"	94	28797	326.4
	"Morgan County, AL"	"01103"	64	16122	397.0
	"Pickens County, AL"	"01107"	14	2874	487.1 (Unreliable)
	"Pike County, AL"	"01109"	21	3601	583.2
	"Randolph County, AL"	"01111"	17	3240	524.7 (Unreliable)
	"Russell County, AL"	"01113"	26	7246	358.8
	"St. Clair County, AL"	"01115"	46	11695	393.3
	"Shelby County, AL"	"01117"	57	27157	209.9
	"Sumter County, AL"	"01119"	10	1855	539.1 (Unreliable)
	"Talladega County, AL"	"01121"	45	11418	394.1
	"Tallapoosa County, AL"	"01123"	20	6190	323.1
	"Tuscaloosa County, AL"	"01125"	80	23721	337.3
	"Walker County, AL"	"01127"	65	9141	711.1
	"Winston County, AL"	"01133"	16	3426	467.0 (Unreliable)
	"Anchorage Borough, AK"	"02020"	81	35822	226.1
	"Fairbanks North Star Borough, AK"	"02090"	22	11200	196.4
	"Juneau Borough, AK"	"02110"	11	4723	232.9 (Unreliable)
	"Kenai Peninsula Borough, AK"	"02122"	29	9588	302.5
	"Matanuska-Susitna Borough, AK"	"02170"	21	13774	152.5
	"Apache County, AZ"	"04001"	15	8961	167.4 (Unreliable)
	"Cochise County, AZ"	"04003"	30	16902	177.5
	"Coconino County, AZ"	"04005"	21	16716	125.6
	"Gila County, AZ"	"04007"	44	8490	518.3
	"Graham County, AZ"	"04009"	11	3859	285.0 (Unreliable)
	"La Paz County, AZ"	"04012"	11	2716	405.0 (Unreliable)
	"Maricopa County, AZ"	"04013"	985	482093	204.3
	"Mohave County, AZ"	"04015"	145	33224	436.4
	"Navajo County, AZ"	"04017"	36	14219	253.2
	"Pima County, AZ"	"04019"	258	128443	200.9
	"Pinal County, AZ"	"04021"	100	49121	203.6
	"Yavapai County, AZ"	"04025"	77	39478	195.0
	"Yuma County, AZ"	"04027"	33	20107	164.1
	"Arkansas County, AR"	"05001"	20	2720	735.3
	"Ashley County, AR"	"05003"	13	2842	457.4 (Unreliable)
	"Baxter County, AR"	"05005"	10	6378	156.8 (Unreliable)
	"Benton County, AR"	"05007"	54	27358	197.4
	"Boone County, AR"	"05009"	32	5032	635.9
	"Carroll County, AR"	"05015"	12	4252	282.2 (Unreliable)
