,SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE
152,50,1,1,Alabama,Autauga County,2016,0,55278,26957,28321
153,50,1,1,Alabama,Autauga County,2016,1,3205,1668,1537
154,50,1,1,Alabama,Autauga County,2016,2,3611,1877,1734
155,50,1,1,Alabama,Autauga County,2016,3,3962,1968,1994
156,50,1,1,Alabama,Autauga County,2016,4,3853,2004,1849
157,50,1,1,Alabama,Autauga County,2016,5,3347,1706,1641
158,50,1,1,Alabama,Autauga County,2016,6,3558,1779,1779
159,50,1,1,Alabama,Autauga County,2016,7,3453,1700,1753
160,50,1,1,Alabama,Autauga County,2016,8,3559,1699,1860
161,50,1,1,Alabama,Autauga County,2016,9,3816,1842,1974
162,50,1,1,Alabama,Autauga County,2016,10,3965,1922,2043
163,50,1,1,Alabama,Autauga County,2016,11,3987,1940,2047
164,50,1,1,Alabama,Autauga County,2016,12,3774,1832,1942
165,50,1,1,Alabama,Autauga County,2016,13,3094,1518,1576
166,50,1,1,Alabama,Autauga County,2016,14,2639,1219,1420
167,50,1,1,Alabama,Autauga County,2016,15,2098,887,1211
168,50,1,1,Alabama,Autauga County,2016,16,1561,685,876
169,50,1,1,Alabama,Autauga County,2016,17,1038,443,595
170,50,1,1,Alabama,Autauga County,2016,18,758,268,490
342,50,1,3,Alabama,Baldwin County,2016,0,207509,100846,106663
343,50,1,3,Alabama,Baldwin County,2016,1,11706,5873,5833
344,50,1,3,Alabama,Baldwin County,2016,2,12456,6321,6135
345,50,1,3,Alabama,Baldwin County,2016,3,13224,6622,6602
346,50,1,3,Alabama,Baldwin County,2016,4,12510,6298,6212
347,50,1,3,Alabama,Baldwin County,2016,5,11120,5675,5445
348,50,1,3,Alabama,Baldwin County,2016,6,11950,5844,6106
349,50,1,3,Alabama,Baldwin County,2016,7,11671,5837,5834
350,50,1,3,Alabama,Baldwin County,2016,8,12445,5999,6446
351,50,1,3,Alabama,Baldwin County,2016,9,12599,6176,6423
352,50,1,3,Alabama,Baldwin County,2016,10,13739,6732,7007
353,50,1,3,Alabama,Baldwin County,2016,11,14370,6930,7440
354,50,1,3,Alabama,Baldwin County,2016,12,14955,7014,7941
355,50,1,3,Alabama,Baldwin County,2016,13,14336,6712,7624
356,50,1,3,Alabama,Baldwin County,2016,14,13951,6583,7368
357,50,1,3,Alabama,Baldwin County,2016,15,10518,5031,5487
358,50,1,3,Alabama,Baldwin County,2016,16,7345,3427,3918
359,50,1,3,Alabama,Baldwin County,2016,17,4606,2172,2434
360,50,1,3,Alabama,Baldwin County,2016,18,4008,1600,2408
532,50,1,5,Alabama,Barbour County,2016,0,25774,13585,12189
533,50,1,5,Alabama,Barbour County,2016,1,1382,701,681
534,50,1,5,Alabama,Barbour County,2016,2,1591,774,817
535,50,1,5,Alabama,Barbour County,2016,3,1544,764,780
536,50,1,5,Alabama,Barbour County,2016,4,1446,748,698
537,50,1,5,Alabama,Barbour County,2016,5,1650,965,685
538,50,1,5,Alabama,Barbour County,2016,6,1809,1128,681
539,50,1,5,Alabama,Barbour County,2016,7,1798,1075,723
540,50,1,5,Alabama,Barbour County,2016,8,1584,979,605
541,50,1,5,Alabama,Barbour County,2016,9,1575,921,654
542,50,1,5,Alabama,Barbour County,2016,10,1645,940,705
543,50,1,5,Alabama,Barbour County,2016,11,1781,910,871
544,50,1,5,Alabama,Barbour County,2016,12,1649,845,804
545,50,1,5,Alabama,Barbour County,2016,13,1657,810,847
546,50,1,5,Alabama,Barbour County,2016,14,1604,725,879
547,50,1,5,Alabama,Barbour County,2016,15,1237,578,659
548,50,1,5,Alabama,Barbour County,2016,16,780,343,437
549,50,1,5,Alabama,Barbour County,2016,17,552,236,316
550,50,1,5,Alabama,Barbour County,2016,18,490,143,347
722,50,1,7,Alabama,Bibb County,2016,0,22633,12108,10525
723,50,1,7,Alabama,Bibb County,2016,1,1285,649,636
724,50,1,7,Alabama,Bibb County,2016,2,1262,653,609
725,50,1,7,Alabama,Bibb County,2016,3,1295,699,596
726,50,1,7,Alabama,Bibb County,2016,4,1311,744,567
727,50,1,7,Alabama,Bibb County,2016,5,1400,798,602
728,50,1,7,Alabama,Bibb County,2016,6,1728,1006,722
729,50,1,7,Alabama,Bibb County,2016,7,1609,994,615
730,50,1,7,Alabama,Bibb County,2016,8,1507,891,616
731,50,1,7,Alabama,Bibb County,2016,9,1526,862,664
732,50,1,7,Alabama,Bibb County,2016,10,1664,910,754
733,50,1,7,Alabama,Bibb County,2016,11,1710,936,774
734,50,1,7,Alabama,Bibb County,2016,12,1475,760,715
735,50,1,7,Alabama,Bibb County,2016,13,1338,642,696
736,50,1,7,Alabama,Bibb County,2016,14,1238,607,631
737,50,1,7,Alabama,Bibb County,2016,15,864,403,461
738,50,1,7,Alabama,Bibb County,2016,16,669,290,379
739,50,1,7,Alabama,Bibb County,2016,17,400,146,254
740,50,1,7,Alabama,Bibb County,2016,18,352,118,234
912,50,1,9,Alabama,Blount County,2016,0,57562,28357,29205
913,50,1,9,Alabama,Blount County,2016,1,3405,1712,1693
914,50,1,9,Alabama,Blount County,2016,2,3752,1904,1848
915,50,1,9,Alabama,Blount County,2016,3,3818,1862,1956
916,50,1,9,Alabama,Blount County,2016,4,3707,1941,1766
917,50,1,9,Alabama,Blount County,2016,5,3290,1714,1576
918,50,1,9,Alabama,Blount County,2016,6,3421,1717,1704
919,50,1,9,Alabama,Blount County,2016,7,3293,1626,1667
920,50,1,9,Alabama,Blount County,2016,8,3533,1784,1749
921,50,1,9,Alabama,Blount County,2016,9,3631,1788,1843
922,50,1,9,Alabama,Blount County,2016,10,3994,2009,1985
923,50,1,9,Alabama,Blount County,2016,11,3994,2022,1972
924,50,1,9,Alabama,Blount County,2016,12,3858,1951,1907
925,50,1,9,Alabama,Blount County,2016,13,3692,1757,1935
926,50,1,9,Alabama,Blount County,2016,14,3496,1661,1835
927,50,1,9,Alabama,Blount County,2016,15,2650,1218,1432
928,50,1,9,Alabama,Blount County,2016,16,1808,842,966
929,50,1,9,Alabama,Blount County,2016,17,1219,517,702
930,50,1,9,Alabama,Blount County,2016,18,1001,332,669
1102,50,1,11,Alabama,Bullock County,2016,0,10441,5664,4777
1103,50,1,11,Alabama,Bullock County,2016,1,622,302,320
1104,50,1,11,Alabama,Bullock County,2016,2,639,342,297
1105,50,1,11,Alabama,Bullock County,2016,3,551,294,257
1106,50,1,11,Alabama,Bullock County,2016,4,546,279,267
1107,50,1,11,Alabama,Bullock County,2016,5,668,382,286
1108,50,1,11,Alabama,Bullock County,2016,6,759,465,294
1109,50,1,11,Alabama,Bullock County,2016,7,808,518,290
1110,50,1,11,Alabama,Bullock County,2016,8,676,414,262
1111,50,1,11,Alabama,Bullock County,2016,9,698,404,294
1112,50,1,11,Alabama,Bullock County,2016,10,673,413,260
1113,50,1,11,Alabama,Bullock County,2016,11,721,386,335
1114,50,1,11,Alabama,Bullock County,2016,12,770,407,363
1115,50,1,11,Alabama,Bullock County,2016,13,677,368,309
1116,50,1,11,Alabama,Bullock County,2016,14,561,265,296
1117,50,1,11,Alabama,Bullock County,2016,15,381,165,216
1118,50,1,11,Alabama,Bullock County,2016,16,293,125,168
1119,50,1,11,Alabama,Bullock County,2016,17,206,82,124
1120,50,1,11,Alabama,Bullock County,2016,18,192,53,139
1292,50,1,13,Alabama,Butler County,2016,0,19965,9278,10687
1293,50,1,13,Alabama,Butler County,2016,1,1164,595,569
1294,50,1,13,Alabama,Butler County,2016,2,1329,701,628
1295,50,1,13,Alabama,Butler County,2016,3,1254,694,560
1296,50,1,13,Alabama,Butler County,2016,4,1237,629,608
1297,50,1,13,Alabama,Butler County,2016,5,1193,585,608
1298,50,1,13,Alabama,Butler County,2016,6,1179,542,637
1299,50,1,13,Alabama,Butler County,2016,7,1159,516,643
1300,50,1,13,Alabama,Butler County,2016,8,1225,539,686
1301,50,1,13,Alabama,Butler County,2016,9,1100,488,612
1302,50,1,13,Alabama,Butler County,2016,10,1183,540,643
1303,50,1,13,Alabama,Butler County,2016,11,1259,550,709
1304,50,1,13,Alabama,Butler County,2016,12,1430,679,751
1305,50,1,13,Alabama,Butler County,2016,13,1447,655,792
1306,50,1,13,Alabama,Butler County,2016,14,1186,564,622
1307,50,1,13,Alabama,Butler County,2016,15,899,427,472
1308,50,1,13,Alabama,Butler County,2016,16,672,264,408
1309,50,1,13,Alabama,Butler County,2016,17,501,175,326
1310,50,1,13,Alabama,Butler County,2016,18,548,135,413
1482,50,1,15,Alabama,Calhoun County,2016,0,114980,55279,59701
1483,50,1,15,Alabama,Calhoun County,2016,1,6619,3381,3238
1484,50,1,15,Alabama,Calhoun County,2016,2,6847,3517,3330
1485,50,1,15,Alabama,Calhoun County,2016,3,7141,3675,3466
1486,50,1,15,Alabama,Calhoun County,2016,4,7672,3909,3763
1487,50,1,15,Alabama,Calhoun County,2016,5,7453,3678,3775
1488,50,1,15,Alabama,Calhoun County,2016,6,8253,4009,4244
1489,50,1,15,Alabama,Calhoun County,2016,7,6989,3403,3586
1490,50,1,15,Alabama,Calhoun County,2016,8,7024,3418,3606
1491,50,1,15,Alabama,Calhoun County,2016,9,6688,3303,3385
1492,50,1,15,Alabama,Calhoun County,2016,10,7221,3498,3723
1493,50,1,15,Alabama,Calhoun County,2016,11,7699,3765,3934
1494,50,1,15,Alabama,Calhoun County,2016,12,8235,3871,4364
1495,50,1,15,Alabama,Calhoun County,2016,13,7714,3671,4043
1496,50,1,15,Alabama,Calhoun County,2016,14,6808,3085,3723
1497,50,1,15,Alabama,Calhoun County,2016,15,4769,2140,2629
1498,50,1,15,Alabama,Calhoun County,2016,16,3417,1439,1978
1499,50,1,15,Alabama,Calhoun County,2016,17,2379,920,1459
1500,50,1,15,Alabama,Calhoun County,2016,18,2052,597,1455
1672,50,1,17,Alabama,Chambers County,2016,0,33717,16163,17554
1673,50,1,17,Alabama,Chambers County,2016,1,2014,1030,984
1674,50,1,17,Alabama,Chambers County,2016,2,1935,981,954
1675,50,1,17,Alabama,Chambers County,2016,3,1897,964,933
1676,50,1,17,Alabama,Chambers County,2016,4,1953,1016,937
1677,50,1,17,Alabama,Chambers County,2016,5,2148,1040,1108
1678,50,1,17,Alabama,Chambers County,2016,6,2164,1116,1048
1679,50,1,17,Alabama,Chambers County,2016,7,1873,890,983
1680,50,1,17,Alabama,Chambers County,2016,8,1870,905,965
1681,50,1,17,Alabama,Chambers County,2016,9,2002,953,1049
1682,50,1,17,Alabama,Chambers County,2016,10,2194,1091,1103
1683,50,1,17,Alabama,Chambers County,2016,11,2426,1178,1248
1684,50,1,17,Alabama,Chambers County,2016,12,2539,1223,1316
1685,50,1,17,Alabama,Chambers County,2016,13,2337,1078,1259
1686,50,1,17,Alabama,Chambers County,2016,14,2128,998,1130
1687,50,1,17,Alabama,Chambers County,2016,15,1610,710,900
1688,50,1,17,Alabama,Chambers County,2016,16,1097,498,599
1689,50,1,17,Alabama,Chambers County,2016,17,777,298,479
1690,50,1,17,Alabama,Chambers County,2016,18,753,194,559
1862,50,1,19,Alabama,Cherokee County,2016,0,25766,12791,12975
1863,50,1,19,Alabama,Cherokee County,2016,1,1247,652,595
1864,50,1,19,Alabama,Cherokee County,2016,2,1401,743,658
1865,50,1,19,Alabama,Cherokee County,2016,3,1458,697,761
1866,50,1,19,Alabama,Cherokee County,2016,4,1557,806,751
1867,50,1,19,Alabama,Cherokee County,2016,5,1335,714,621
1868,50,1,19,Alabama,Cherokee County,2016,6,1430,724,706
1869,50,1,19,Alabama,Cherokee County,2016,7,1150,541,609
1870,50,1,19,Alabama,Cherokee County,2016,8,1336,673,663
1871,50,1,19,Alabama,Cherokee County,2016,9,1562,769,793
1872,50,1,19,Alabama,Cherokee County,2016,10,1738,894,844
1873,50,1,19,Alabama,Cherokee County,2016,11,1900,980,920
1874,50,1,19,Alabama,Cherokee County,2016,12,2024,993,1031
1875,50,1,19,Alabama,Cherokee County,2016,13,1934,942,992
1876,50,1,19,Alabama,Cherokee County,2016,14,2023,1023,1000
1877,50,1,19,Alabama,Cherokee County,2016,15,1484,692,792
1878,50,1,19,Alabama,Cherokee County,2016,16,1048,500,548
1879,50,1,19,Alabama,Cherokee County,2016,17,648,295,353
1880,50,1,19,Alabama,Cherokee County,2016,18,491,153,338
2052,50,1,21,Alabama,Chilton County,2016,0,43830,21519,22311
2053,50,1,21,Alabama,Chilton County,2016,1,2769,1398,1371
2054,50,1,21,Alabama,Chilton County,2016,2,2980,1513,1467
2055,50,1,21,Alabama,Chilton County,2016,3,2982,1463,1519
2056,50,1,21,Alabama,Chilton County,2016,4,2704,1409,1295
2057,50,1,21,Alabama,Chilton County,2016,5,2648,1350,1298
2058,50,1,21,Alabama,Chilton County,2016,6,2773,1408,1365
2059,50,1,21,Alabama,Chilton County,2016,7,2624,1296,1328
2060,50,1,21,Alabama,Chilton County,2016,8,2885,1359,1526
2061,50,1,21,Alabama,Chilton County,2016,9,2723,1378,1345
2062,50,1,21,Alabama,Chilton County,2016,10,2909,1469,1440
2063,50,1,21,Alabama,Chilton County,2016,11,2952,1463,1489
2064,50,1,21,Alabama,Chilton County,2016,12,3116,1545,1571
2065,50,1,21,Alabama,Chilton County,2016,13,2815,1365,1450
2066,50,1,21,Alabama,Chilton County,2016,14,2411,1149,1262
2067,50,1,21,Alabama,Chilton County,2016,15,1783,827,956
2068,50,1,21,Alabama,Chilton County,2016,16,1248,551,697
2069,50,1,21,Alabama,Chilton County,2016,17,805,323,482
2070,50,1,21,Alabama,Chilton County,2016,18,703,253,450
2242,50,1,23,Alabama,Choctaw County,2016,0,13050,6190,6860
2243,50,1,23,Alabama,Choctaw County,2016,1,675,330,345
2244,50,1,23,Alabama,Choctaw County,2016,2,676,349,327
2245,50,1,23,Alabama,Choctaw County,2016,3,780,432,348
2246,50,1,23,Alabama,Choctaw County,2016,4,784,385,399
2247,50,1,23,Alabama,Choctaw County,2016,5,729,360,369
2248,50,1,23,Alabama,Choctaw County,2016,6,658,322,336
2249,50,1,23,Alabama,Choctaw County,2016,7,638,298,340
2250,50,1,23,Alabama,Choctaw County,2016,8,681,311,370
2251,50,1,23,Alabama,Choctaw County,2016,9,764,369,395
2252,50,1,23,Alabama,Choctaw County,2016,10,816,382,434
2253,50,1,23,Alabama,Choctaw County,2016,11,982,476,506
2254,50,1,23,Alabama,Choctaw County,2016,12,1046,488,558
2255,50,1,23,Alabama,Choctaw County,2016,13,925,422,503
2256,50,1,23,Alabama,Choctaw County,2016,14,902,405,497
2257,50,1,23,Alabama,Choctaw County,2016,15,760,350,410
2258,50,1,23,Alabama,Choctaw County,2016,16,528,251,277
2259,50,1,23,Alabama,Choctaw County,2016,17,352,143,209
2260,50,1,23,Alabama,Choctaw County,2016,18,354,117,237
2432,50,1,25,Alabama,Clarke County,2016,0,24350,11523,12827
2433,50,1,25,Alabama,Clarke County,2016,1,1376,677,699
