,,,Premature death,,,,,,,Poor or fair health,,,,Poor physical health days,,,,Poor mental health days,,,,Low birthweight,,,,,,,,Adult smoking,,,,Adult obesity,,,,Food environment index,,Physical inactivity,,,,Access to exercise opportunities,,Excessive drinking,,,,Alcohol-impaired driving deaths,,,,,,Sexually transmitted infections,,,Teen births,,,,,,,Uninsured,,,,,Primary care physicians,,,,Dentists,,,,Mental health providers,,,,Preventable hospital stays,,,,,Mammography screening,,,,,Flu vaccinations,,,,,High school graduation,,,Some college,,,,,,Unemployment,,,,Children in poverty,,,,,,,Income inequality,,,,Children in single-parent households,,,,,,Social associations,,,Violent crime,,,Injury deaths,,,,,Air pollution - particulate matter,,Drinking water violations,,Severe housing problems,,,,,,,Driving alone to work,,,,,,,Long commute - driving alone,,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Diabetes prevalence,,,Food insecurity,
FIPS,State,County,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (Black),YPLL Rate (Hispanic),YPLL Rate (White),% Fair/Poor,95% CI - Low,95% CI - High,Z-Score,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% LBW,95% CI - Low,95% CI - High,Z-Score,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,MHP Rate,MHP Ratio,Z-Score,Preventable Hosp. Rate,Z-Score,Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% Screened,Z-Score,% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average Daily PM2.5,Z-Score,Presence of violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Z-Score,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# Food Insecure,% Food Insecure
01000,Alabama,,9917,9815,10019,,,,,21,20,23,,4.4,4.1,4.7,,4.6,4.3,4.9,,,10,10,10,,,,,22,20,23,,35,,,,5.8,,28,,,,62,,14,13,15,,1302,4554,29,28,29,,26359,543.6,,33,33,34,,,,,427972,11,10,11,,3180,65,1529:1,,2321,48,2100:1,,4412,91,1105:1,,5496,,,,,42,,,,,42,,,,,54917,89,,736170,1229722,60,59,60,,95342,2168448,4.4,,24,23,25,,,,,95866,18300,5.2,,416762,1093731,38,37,39,,5954,12.2,,23307,480,,19402,80,79,81,,11.0,,,,15,15,15,,,,,86,86,86,,,,,1743217,34,33,34,,38,36,39,401044,14,13,14,30253,3,2,3,14,,,800620,17
01001,Alabama,Autauga,8824,7935,9713,-1.04,10471,,8707,18,18,19,-1.11,4.2,4.0,4.4,-1.15,4.3,4.1,4.5,-1.33,,8,8,9,-0.98,13,,7,19,18,20,-0.87,38,32,43,0.02,7.2,-0.29,31,26,36,0.19,69,-1.12,17,16,18,1.34,17,59,29,22,36,-0.20,189,341.2,-0.75,27,24,29,-1.30,30,27,26,4002,9,7,10,-1.90,23,42,2409:1,0.20,18,32,3084:1,-0.10,9,16,6167:1,0.63,6599,0.51,11175,,5909,44,-0.72,45,27,44,41,-0.35,32,36,42,660,90,-0.19,8701,14298,61,55,67,-0.99,1001,25909,3.9,-0.85,19,15,23,-1.06,39,16,15,105294,22709,4.6,-0.70,3315,13421,25,19,30,-1.19,70,12.6,-0.18,149,272,-0.63,205,74,64,84,-0.76,11.7,0.98,No,-0.28,15,12,18,13,2,1,0.11,86,83,89,0.16,83,,84,20911,38,34,42,0.11,36,35,37,3686,11,9,13,351,2,2,3,14,11,18,7360,13
01003,Alabama,Baldwin,7225,6794,7655,-1.84,10042,3087,7278,18,18,19,-1.20,4.1,3.9,4.3,-1.37,4.2,4.1,4.4,-1.52,,8,8,9,-1.04,15,5,8,17,16,17,-2.20,31,28,34,-1.68,8.0,-0.86,24,21,26,-2.11,72,-1.29,17,16,17,1.25,51,160,32,28,36,0.08,678,338.8,-0.76,30,28,31,-0.95,35,49,28,17733,11,10,12,-0.50,152,73,1372:1,-1.14,106,50,2006:1,-1.15,194,91,1096:1,-0.55,3833,-1.33,5589,655,3801,45,-0.92,42,41,45,45,-1.04,33,35,46,2207,86,0.49,31821,48116,66,63,70,-1.56,3652,91567,4.0,-0.76,15,10,19,-1.56,34,10,14,105906,23438,4.5,-0.84,11252,44679,25,22,29,-1.16,223,10.7,0.42,408,204,-1.00,708,69,64,75,-1.04,10.3,-1.28,Yes,3.49,14,13,15,13,1,1,-0.21,85,83,87,-0.26,85,68,84,74415,41,38,43,0.36,33,32,34,16389,14,12,15,1530,3,2,4,11,10,13,24500,12
01005,Alabama,Barbour,9586,8200,10972,-0.65,11333,,7310,26,25,26,0.69,5.1,4.9,5.2,0.78,4.6,4.5,4.8,-0.24,,11,10,12,0.18,14,,8,22,21,22,0.51,44,38,50,1.81,5.6,0.85,28,24,33,-0.72,54,-0.38,13,12,13,-0.95,8,27,30,19,40,-0.13,150,557.9,0.11,45,39,51,0.81,45,59,44,2252,13,11,14,0.67,10,39,2597:1,0.33,9,36,2808:1,-0.29,2,8,12635:1,0.77,4736,-0.73,5431,,4299,46,-1.12,41,,48,37,0.34,33,,38,312,81,1.43,2558,6956,37,32,42,1.61,486,8236,5.9,0.62,50,42,58,2.29,63,59,17,74459,12938,5.8,0.62,3140,5488,57,51,64,1.15,22,8.5,1.10,106,414,0.12,96,73,59,89,-0.83,11.5,0.66,No,-0.28,15,13,18,14,2,1,0.26,83,81,86,-0.72,80,,86,7242,34,29,39,-0.41,39,38,40,2105,17,14,19,161,3,2,4,18,15,21,6160,23
01007,Alabama,Bibb,11784,10160,13407,0.45,14813,,11328,20,19,21,-0.73,4.4,4.2,4.6,-0.78,4.3,4.1,4.5,-1.30,,11,10,13,0.25,18,,9,20,19,21,-0.42,38,31,44,0.10,7.6,-0.58,35,29,42,1.40,16,1.48,16,15,17,0.82,9,33,27,18,37,-0.34,68,302.1,-0.91,45,39,52,0.85,29,,50,1646,10,8,11,-1.15,13,57,1742:1,-0.48,6,26,3778:1,0.26,2,9,11334:1,0.75,5998,0.11,7174,,5650,44,-0.72,40,,44,39,-0.01,28,,41,271,84,0.98,3007,6212,48,41,56,0.36,373,8506,4.4,-0.47,27,19,35,-0.20,43,9,23,88436,20786,4.3,-1.15,1381,4671,30,20,39,-0.84,23,10.2,0.58,20,89,-1.60,113,100,82,119,0.80,11.2,0.18,No,-0.28,11,7,15,11,0,0,-1.04,86,82,91,0.30,,,,6930,49,40,57,1.28,38,37,39,1532,12,10,14,125,3,2,4,15,12,19,3580,16
01009,Alabama,Blount,10908,9896,11921,0.01,,5620,11336,21,20,22,-0.46,4.5,4.3,4.7,-0.45,4.7,4.5,4.9,-0.02,,8,7,9,-1.24,,7,8,20,19,20,-0.57,34,29,40,-0.79,8.5,-1.22,29,24,34,-0.63,23,1.15,15,15,16,0.52,14,64,22,16,29,-0.83,66,114.3,-1.65,36,32,39,-0.27,44,33,36,5704,12,11,14,0.41,13,23,4439:1,1.02,12,21,4834:1,0.60,6,10,9669:1,0.73,4162,-1.11,,,,36,0.92,30,16,37,38,0.16,19,24,39,689,93,-0.85,7526,13831,54,49,60,-0.29,985,24494,4.0,-0.73,19,13,24,-1.15,2,57,20,86549,20972,4.1,-1.30,3986,13480,30,24,35,-0.84,52,9.0,0.94,279,483,0.48,304,105,93,117,1.11,11.7,0.98,No,-0.28,10,9,12,8,2,1,-1.20,87,85,89,0.45,,82,83,18426,60,55,64,2.54,36,35,37,5275,16,14,18,476,3,2,5,14,12,18,6340,11
01011,Alabama,Bullock,12067,9520,14614,0.59,14337,,6639,29,29,30,1.58,5.2,5.0,5.4,1.14,4.8,4.6,5.0,0.29,,14,11,16,1.48,16,6,,23,23,24,1.62,39,30,48,0.52,4.2,1.85,29,23,36,-0.41,27,0.96,13,12,13,-0.84,17,28,61,53,67,2.69,79,733.9,0.81,55,44,65,1.89,56,,39,937,13,11,15,1.11,3,29,3454:1,0.74,2,19,5155:1,0.68,1,10,10309:1,0.74,6767,0.62,7006,,5922,44,-0.72,42,,49,26,2.23,23,,32,121,70,3.00,936,2784,34,23,44,1.95,237,4812,4.9,-0.08,48,36,61,2.07,,,,66477,10073,6.6,1.61,1645,2160,76,66,86,2.52,10,9.7,0.74,33,311,-0.43,58,110,84,142,1.39,11.2,0.18,No,-0.28,21,15,27,17,2,2,1.78,73,65,82,-3.00,72,,70,3135,47,33,62,1.13,45,44,46,882,18,15,20,62,3,2,4,20,15,26,2740,26
01013,Alabama,Butler,14019,11976,16061,1.57,15794,,12798,27,26,27,0.86,5.1,4.9,5.3,0.89,5.1,4.9,5.3,1.43,,12,11,14,0.87,15,,10,22,21,23,0.89,40,34,47,0.73,6.5,0.21,35,29,41,1.33,49,-0.13,13,13,14,-0.76,15,48,31,24,39,0.02,168,827.7,1.19,42,36,48,0.47,41,,46,1703,11,9,12,-0.52,6,30,3333:1,0.70,6,30,3304:1,0.03,7,35,2832:1,0.33,7962,1.41,8603,,7843,42,-0.31,42,,42,35,0.68,27,,38,239,82,1.39,1873,4872,38,32,45,1.43,491,8946,5.5,0.32,33,23,43,0.42,48,,18,75474,14733,5.1,-0.13,2388,4543,53,43,62,0.82,23,11.5,0.17,117,582,1.01,96,95,77,117,0.53,10.6,-0.79,No,-0.28,14,11,17,11,2,2,-0.23,84,80,87,-0.66,85,,87,6370,32,27,37,-0.64,42,41,43,1596,14,12,16,120,2,2,3,18,14,22,4410,22
01015,Alabama,Calhoun,12218,11485,12951,0.66,12955,,12447,20,19,20,-0.83,4.3,4.1,4.4,-0.95,4.5,4.3,4.6,-0.77,,9,8,10,-0.73,14,6,8,20,20,21,-0.10,37,34,41,-0.08,6.9,-0.08,30,27,34,-0.09,45,0.07,15,15,16,0.55,15,84,18,13,24,-1.20,681,587.5,0.23,37,35,39,-0.10,41,37,36,10386,11,10,13,-0.18,74,65,1549:1,-0.78,74,65,1550:1,-2.03,113,98,1015:1,-0.66,6450,0.41,7384,2299,6318,33,1.53,33,40,33,38,0.16,26,25,40,1402,92,-0.64,16636,28921,58,54,61,-0.63,2249,45582,4.9,-0.08,24,18,30,-0.53,52,29,17,86828,17422,5.0,-0.29,9894,25177,39,35,43,-0.14,164,14.3,-0.70,871,756,1.93,474,82,75,89,-0.28,11.8,1.14,No,-0.28,15,13,16,13,1,1,-0.01,85,84,86,-0.16,86,85,87,39356,31,28,33,-0.77,41,40,42,9869,14,13,16,593,2,2,3,16,14,19,19370,17
