Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Autauga County, AL",1001,314,110451,284.3,275.9
,"Baldwin County, AL",1003,1315,412253,319,240.2
,"Barbour County, AL",1005,201,52235,384.8,306.8
,"Bibb County, AL",1007,165,45204,365,321.3
,"Blount County, AL",1009,400,115380,346.7,287.3
,"Bullock County, AL",1011,75,20817,360.3,295
,"Butler County, AL",1013,210,40124,523.4,372.6
,"Calhoun County, AL",1015,1054,229896,458.5,382.6
,"Chambers County, AL",1017,256,67886,377.1,273.3
,"Cherokee County, AL",1019,242,51451,470.4,330.5
,"Chilton County, AL",1021,361,87750,411.4,358.8
,"Choctaw County, AL",1023,148,26194,565,372.6
,"Clarke County, AL",1025,207,49118,421.4,303.6
,"Clay County, AL",1027,141,26987,522.5,361.8
,"Cleburne County, AL",1029,145,29920,484.6,362.8
,"Coffee County, AL",1031,351,102289,343.1,291.9
,"Colbert County, AL",1033,484,108511,446,324.8
,"Conecuh County, AL",1035,120,24992,480.2,328.6
,"Coosa County, AL",1037,97,21268,456.1,338.7
,"Covington County, AL",1039,375,75119,499.2,336.9
,"Crenshaw County, AL",1041,126,27789,453.4,337.7
,"Cullman County, AL",1043,623,164329,379.1,305.7
,"Dale County, AL",1045,346,98596,350.9,301.3
,"Dallas County, AL",1047,398,80901,492,404.1
,"DeKalb County, AL",1049,528,141896,372.1,329.1
,"Elmore County, AL",1051,478,163037,293.2,282.5
,"Escambia County, AL",1053,315,75555,416.9,340.8
,"Etowah County, AL",1055,949,205437,461.9,360.5
,"Fayette County, AL",1057,155,33269,465.9,335
,"Franklin County, AL",1059,256,63170,405.3,347
,"Geneva County, AL",1061,245,53369,459.1,326.1
,"Greene County, AL",1063,83,16872,491.9,365.2
,"Hale County, AL",1065,129,30027,429.6,322.8
,"Henry County, AL",1067,143,34355,416.2,280.3
,"Houston County, AL",1069,770,208281,369.7,303
,"Jackson County, AL",1071,498,104436,476.8,360.5
,"Jefferson County, AL",1073,4154,1319528,314.8,265.4
,"Lamar County, AL",1075,149,27820,535.6,365.1
,"Lauderdale County, AL",1077,757,184795,409.6,302.4
,"Lawrence County, AL",1079,280,66377,421.8,358.4
,"Lee County, AL",1081,561,315758,177.7,222.9
,"Limestone County, AL",1083,517,184375,280.4,266.8
,"Lowndes County, AL",1085,88,20780,423.5,333.8
,"Macon County, AL",1087,192,38178,502.9,388.5
,"Madison County, AL",1089,1938,710269,272.9,248.5
,"Marengo County, AL",1091,202,39585,510.3,353.7
,"Marion County, AL",1093,319,60143,530.4,375.6
,"Marshall County, AL",1095,766,189850,403.5,340.3
,"Mobile County, AL",1097,2882,829470,347.5,307.7
,"Monroe County, AL",1099,151,43227,349.3,267.3
,"Montgomery County, AL",1101,1336,453217,294.8,272.8
,"Morgan County, AL",1103,928,238399,389.3,321.8
,"Perry County, AL",1105,79,19257,410.2,303.9
,"Pickens County, AL",1107,194,41151,471.4,359
,"Pike County, AL",1109,189,66662,283.5,263.5
,"Randolph County, AL",1111,252,45355,555.6,402
,"Russell County, AL",1113,368,117030,314.4,312.1
,"St. Clair County, AL",1115,570,175005,325.7,291
,"Shelby County, AL",1117,899,419149,214.5,212.6
,"Sumter County, AL",1119,93,26284,353.8,272.4
,"Talladega County, AL",1121,629,160852,391,325.9
,"Tallapoosa County, AL",1123,323,81482,396.4,287.5
,"Tuscaloosa County, AL",1125,1151,410423,280.4,299.4
,"Walker County, AL",1127,769,130258,590.4,475.3
,"Washington County, AL",1129,146,33657,433.8,354.5
,"Wilcox County, AL",1131,99,22016,449.7,339.9
,"Winston County, AL",1133,201,47659,421.7,294.3
,"Aleutians West Census Area, AK",2016,11,11386,96.6 (Unreliable),103.4 (Unreliable)
,"Anchorage Borough, AK",2020,778,596504,130.4,174
,"Bethel Census Area, AK",2050,51,35908,142,269.8
,"Dillingham Census Area, AK",2070,26,9953,261.2,376.9
,"Fairbanks North Star Borough, AK",2090,263,200244,131.3,208.2
,"Haines Borough, AK",2100,12,4980,241.0 (Unreliable),193.5 (Unreliable)
,"Juneau Borough, AK",2110,111,65071,170.6,209.2
,"Kenai Peninsula Borough, AK",2122,274,116550,235.1,232.5
,"Ketchikan Gateway Borough, AK",2130,49,27435,178.6,183.1
,"Kodiak Island Borough, AK",2150,27,27521,98.1,139.7
,"Matanuska-Susitna Borough, AK",2170,289,205485,140.6,198.4
,"Nome Census Area, AK",2180,39,19792,197,329.8
,"North Slope Borough, AK",2185,34,19296,176.2,326.4
,"Northwest Arctic Borough, AK",2188,30,15437,194.3,314
,"Petersburg Borough/Census Area, AK",2195,19,6298,301.7 (Unreliable),346.8 (Unreliable)
,"Prince of Wales-Hyder Census Area, AK",2198,26,12707,204.6,331.8
,"Sitka Borough, AK",2220,45,17674,254.6,244.5
,"Southeast Fairbanks Census Area, AK",2240,20,13702,146,180.3
,"Valdez-Cordova Census Area, AK",2261,26,18663,139.3,204.2
,"Wade Hampton Census Area, AK",2270,20,16158,123.8,271.1
,"Wrangell City and Borough, AK",2275,11,4811,228.6 (Unreliable),169.9 (Unreliable)
,"Yukon-Koyukuk Census Area, AK",2290,16,11067,144.6 (Unreliable),119.9 (Unreliable)
,"Apache County, AZ",4001,283,144706,195.6,194.5
,"Cochise County, AZ",4003,780,252165,309.3,209.4
,"Coconino County, AZ",4005,391,279984,139.7,164.4
,"Gila County, AZ",4007,500,106694,468.6,266.7
,"Graham County, AZ",4009,148,75272,196.6,204
,"Greenlee County, AZ",4011,36,19138,188.1,199.3
,"La Paz County, AZ",4012,192,40464,474.5,219.9
,"Maricopa County, AZ",4013,16751,8404634,199.3,180.5
,"Mohave County, AZ",4015,2192,409414,535.4,293
,"Navajo County, AZ",4017,466,218389,213.4,186.7
,"Pima County, AZ",4019,5467,2024411,270.1,192.3
,"Pinal County, AZ",4021,1690,824760,204.9,167
,"Santa Cruz County, AZ",4023,202,92122,219.3,181.3
,"Yavapai County, AZ",4025,1662,447146,371.7,189.2
,"Yuma County, AZ",4027,876,409337,214,157.9
,"Arkansas County, AR",5001,168,36587,459.2,321.8
,"Ashley County, AR",5003,182,41302,440.7,334.5
,"Baxter County, AR",5005,380,82132,462.7,216.6
,"Benton County, AR",5007,1055,509142,207.2,210.6
,"Boone County, AR",5009,380,74533,509.8,339.7
,"Bradley County, AR",5011,110,22049,498.9,363.2
,"Calhoun County, AR",5013,46,10353,444.3,283.5
,"Carroll County, AR",5015,231,55390,417,289.4
,"Chicot County, AR",5017,105,21930,478.8,313.6
,"Clark County, AR",5019,193,45299,426.1,340.9
,"Clay County, AR",5021,143,29987,476.9,302.5
,"Cleburne County, AR",5023,215,50733,423.8,240.3
,"Cleveland County, AR",5025,74,16540,447.4,331.5
,"Columbia County, AR",5027,209,48041,435,326.5
,"Conway County, AR",5029,193,41931,460.3,320.8
,"Craighead County, AR",5031,598,210197,284.5,279.8
,"Crawford County, AR",5033,394,124161,317.3,274.9
,"Crittenden County, AR",5035,285,98220,290.2,288.7
,"Cross County, AR",5037,140,34319,407.9,315.1
,"Dallas County, AR",5039,88,15052,584.6,357.9
,"Desha County, AR",5041,150,23883,628.1,489.5
,"Drew County, AR",5043,160,37326,428.7,339.6
,"Faulkner County, AR",5045,551,243570,226.2,256.4
,"Franklin County, AR",5047,149,35335,421.7,308.9
,"Fulton County, AR",5049,110,24311,452.5,255.8
,"Garland County, AR",5051,913,194631,469.1,299.5
,"Grant County, AR",5053,117,36112,324,278.6
,"Greene County, AR",5055,282,88765,317.7,284.7
,"Hempstead County, AR",5057,172,44012,390.8,308.3
,"Hot Spring County, AR",5059,264,66857,394.9,306.4
,"Howard County, AR",5061,129,26727,482.7,360.7
,"Independence County, AR",5063,318,74241,428.3,327.3
,"Izard County, AR",5065,114,26887,424,233.6
,"Jackson County, AR",5067,119,34571,344.2,270.6
,"Jefferson County, AR",5069,661,141780,466.2,388.3
,"Johnson County, AR",5071,179,52322,342.1,291.4
,"Lafayette County, AR",5073,71,13828,513.5,320.6
,"Lawrence County, AR",5075,147,33476,439.1,294.5
,"Lee County, AR",5077,88,18955,464.3,360.8
,"Lincoln County, AR",5079,97,27546,352.1,324.2
,"Little River County, AR",5081,135,24896,542.3,383.1
,"Logan County, AR",5083,187,43588,429,308.5
,"Lonoke County, AR",5085,397,143925,275.8,280.8
,"Madison County, AR",5087,145,31789,456.1,353.7
,"Marion County, AR",5089,158,32539,485.6,262.5
,"Miller County, AR",5091,341,87686,388.9,336
,"Mississippi County, AR",5093,331,86534,382.5,360.6
,"Monroe County, AR",5095,83,14584,569.1,345.7
,"Montgomery County, AR",5097,87,17851,487.4,269
,"Nevada County, AR",5099,93,16951,548.6,375.5
,"Newton County, AR",5101,74,15859,466.6,284
,"Ouachita County, AR",5103,222,48468,458,329.3
,"Perry County, AR",5105,81,20314,398.7,298.4
,"Phillips County, AR",5107,144,38509,373.9,310.9
,"Pike County, AR",5109,95,21686,438.1,333.5
,"Poinsett County, AR",5111,218,48051,453.7,359.9
,"Polk County, AR",5113,177,40398,438.1,291.1
,"Pope County, AR",5115,351,127271,275.8,257.5
,"Prairie County, AR",5117,61,16531,369,225.9
,"Pulaski County, AR",5119,2327,786182,296,267.3
,"Randolph County, AR",5121,154,34903,441.2,299.3
,"St. Francis County, AR",5123,211,52774,399.8,373.2
,"Saline County, AR",5125,669,236061,283.4,234.1
,"Scott County, AR",5127,67,20787,322.3,234.4
,"Searcy County, AR",5129,73,15817,461.5,275.9
,"Sebastian County, AR",5131,797,255383,312.1,275.2
,"Sevier County, AR",5133,96,34136,281.2,268.9
,"Sharp County, AR",5135,197,34088,577.9,336.3
,"Stone County, AR",5137,94,24969,376.5,204.2
,"Union County, AR",5139,282,80045,352.3,266.2
,"Van Buren County, AR",5141,165,33408,493.9,273.4
,"Washington County, AR",5143,1233,452282,272.6,313.6
,"White County, AR",5145,583,158276,368.3,322.2
,"Woodruff County, AR",5147,82,13368,613.4,396.2
,"Yell County, AR",5149,197,43159,456.5,343.9
,"Alameda County, CA",6001,5935,3280451,180.9,172.1
,"Alpine County, CA",6003,10,2177,459.3 (Unreliable),312.8 (Unreliable)
,"Amador County, CA",6005,271,74409,364.2,197.3
,"Butte County, CA",6007,1509,452115,333.8,241
,"Calaveras County, CA",6009,310,90011,344.4,204.4
,"Colusa County, CA",6011,116,42906,270.4,245.9
,"Contra Costa County, CA",6013,4623,2258358,204.7,173.5
,"Del Norte County, CA",6015,170,54841,310,255.7
,"El Dorado County, CA",6017,917,369984,247.8,180.1
,"Fresno County, CA",6019,4401,1952045,225.5,238.4
,"Glenn County, CA",6021,170,56046,303.3,253
,"Humboldt County, CA",6023,872,272029,320.6,263.6
,"Imperial County, CA",6025,703,360689,194.9,192
,"Inyo County, CA",6027,117,36395,321.5,181.6
,"Kern County, CA",6029,3567,1764285,202.2,253.1
,"Kings County, CA",6031,480,300116,159.9,209.2
,"Lake County, CA",6033,498,128562,387.4,266.4
,"Lassen County, CA",6035,147,62203,236.3,223.8
,"Los Angeles County, CA",6037,43989,20250170,217.2,205.6
,"Madera County, CA",6039,714,309003,231.1,235.9
,"Marin County, CA",6041,1149,521705,220.2,132.4
,"Mariposa County, CA",6043,131,34963,374.7,215.7
,"Mendocino County, CA",6045,526,174981,300.6,214.4
,"Merced County, CA",6047,1097,535773,204.8,240.6
,"Modoc County, CA",6049,74,17728,417.4,246.4
,"Mono County, CA",6051,30,27866,107.7,115.2
,"Monterey County, CA",6053,1436,867239,165.6,158.4
,"Napa County, CA",6055,768,284020,270.4,187.8
,"Nevada County, CA",6057,623,197936,314.7,173.6
,"Orange County, CA",6059,13023,6329105,205.8,182.4
,"Placer County, CA",6061,1882,754914,249.3,171.6
,"Plumas County, CA",6063,125,37028,337.6,192.2
,"Riverside County, CA",6065,11346,4740633,239.3,224.7
,"Sacramento County, CA",6067,7280,3011104,241.8,224.6
,"San Benito County, CA",6069,184,117887,156.1,167.5
,"San Bernardino County, CA",6071,9011,4262641,211.4,252.1
,"San Diego County, CA",6073,13467,6607994,203.8,185.9
,"San Francisco County, CA",6075,3472,1732891,200.4,157.4
,"San Joaquin County, CA",6077,3412,1457205,234.1,241.3
,"San Luis Obispo County, CA",6079,1499,563847,265.9,184
,"San Mateo County, CA",6081,3056,1527988,200,157.1
,"Santa Barbara County, CA",6083,1928,889985,216.6,172.7
